id,name,team,position,bye_week,fantasy_points,injury_status,drafted,locked,data_method,week_1_points,week_2_points,week_3_points,week_4_points,week_5_points,week_6_points,week_7_points,week_8_points,week_9_points,week_10_points,week_11_points,week_12_points,week_13_points,week_14_points,week_15_points,week_16_points,week_17_points
4362628,Ja'Marr Chase,CIN,WR,10,309.0634885,ACTIVE,1,0,weekly,19.78357658,19.86424509,18.10377364,18.79572516,19.70646643,18.70285434,19.07847653,18.52421336,19.69222018,0.0,19.14520121,19.49315669,19.61389419,19.22807028,19.55872831,19.67445867,18.64624951
3929630,Saquon Barkley,PHI,RB,9,302.22339323000006,ACTIVE,1,0,weekly,18.4,17.4,18.62040206,18.45788448,18.53266453,19.55154872,18.45774598,20.01640093,0.0,16.40434195,18.57833227,19.78272201,20.43113945,17.91912063,19.41619572,18.59805337,18.07566642
4429795,Jahmyr Gibbs,DET,RB,8,289.31364274999993,ACTIVE,1,0,weekly,18.41926089,19.4,17.88961538,17.96867213,18.63421588,18.01537572,18.64123526,0.0,18.28979458,18.3670397,17.80136657,19.26351517,16.97117712,19.73253934,18.00718178,18.69517811,17.96391112
4430807,Bijan Robinson,ATL,RB,5,323.04562132,ACTIVE,1,0,weekly,24.4,19.8,20.99491069,20.39296379,0.0,19.86423111,19.77213143,21.70969755,20.44096662,20.26863325,21.38997522,20.58159899,20.42184494,19.83393067,19.9592664,19.58332696,19.96847226
4262921,Justin Jefferson,MIN,WR,6,276.16015935999997,ACTIVE,1,0,weekly,20.23054598,11.1,19.03851275,16.75446305,15.8331552,0.0,17.22285114,16.68706519,17.69997802,17.50585654,17.71911779,16.63403484,16.42242177,17.29544828,18.24899155,16.9283499,17.66513175
4374302,Amon-Ra St. Brown,DET,WR,8,286.47456527,ACTIVE,1,0,weekly,17.19942211,39.2,19.45426608,17.5749943,18.85721885,18.74487653,19.13831884,0.0,17.6473698,19.02956779,18.97305252,18.33256089,18.45531694,19.63411168,18.78046615,18.66146576,17.77026424
4241389,CeeDee Lamb,DAL,WR,10,306.01007701,ACTIVE,1,0,weekly,18.0,20.2,20.00325332,18.86503123,18.74082135,19.17194645,19.47830481,19.00540475,18.79626468,0.0,19.07727878,19.33591409,19.16630499,20.01979378,18.1648376,18.84418765,19.55802106
3117251,Christian McCaffrey,SF,RB,14,334.78162161,ACTIVE,1,0,weekly,23.2,22.7,20.9938784,21.13175777,20.65249805,20.79427962,20.90478394,20.47771099,21.49925748,20.77853586,20.39794377,22.11586609,20.00277897,0.0,22.25224491,20.87786635,22.44282521
3918298,Josh Allen,BUF,QB,7,345.48201639,ACTIVE,1,0,weekly,38.76,21.76264579,23.95536956,22.5496676,23.08301338,21.57893397,0.0,23.00086131,22.06253953,23.63610995,22.87829701,21.01227651,22.03353476,22.57637708,22.73296411,20.76121098,21.90172825
3043078,Derrick Henry,BAL,RB,7,254.65319886000003,ACTIVE,1,0,weekly,29.2,17.91476449,16.45517247,16.16296618,17.0339159,16.64353661,0.0,18.36544155,17.93291865,16.56552782,16.07319258,17.87307929,17.4454995,17.11520512,16.95127087,17.35457367,14.32712619
3916387,Lamar Jackson,BAL,QB,7,373.60773792000003,ACTIVE,1,0,weekly,29.36,22.76225026,23.61752988,22.85343645,22.62352178,23.14645471,0.0,24.94962741,24.73497816,22.02609057,21.96830811,23.62817152,23.71978656,23.56379654,23.35733122,24.16753181,20.95074902
4426515,Puka Nacua,LAR,WR,8,327.94432994,ACTIVE,1,0,weekly,16.76543591,19.7324316,19.48640968,19.68033168,20.10443586,20.5909547,19.51793052,0.0,19.23467863,20.19217081,19.197837,20.42281836,19.85462181,19.56639574,20.64916204,19.28410814,19.46247497
4595348,Malik Nabers,NYG,WR,14,308.44632141,ACTIVE,1,0,weekly,18.99367796,37.7,19.80264749,19.47291035,19.35723827,19.93194495,19.56674486,19.96290599,20.06983165,20.70081329,19.38463503,20.59448075,20.48267456,0.0,20.14831557,18.78872751,19.75148095
4432665,Brock Bowers,LV,TE,8,234.92739420999996,ACTIVE,1,0,weekly,15.30379238,15.87539415,14.92160521,15.74252171,15.05586259,14.73187593,15.1913336,0.0,14.84229404,15.0138383,16.10363994,14.36393665,14.90387987,14.95466176,15.28995865,14.6919649,15.02002106
4040715,Jalen Hurts,PHI,QB,9,333.5408496399999,ACTIVE,1,0,weekly,24.28,11.54,20.53186056,21.00870939,20.20345365,21.0041464,19.35195582,21.41048463,0.0,18.15083725,21.03336352,22.61773482,22.46693904,19.47702959,20.78605882,20.97374116,20.40500739
4361307,Trey McBride,ARI,TE,8,249.40724406,ACTIVE,1,0,weekly,12.1,15.60941689,16.09058799,15.27165315,15.28411642,15.71871434,15.60647323,0.0,16.89410876,15.36247443,15.99935171,15.46437828,16.34812689,15.81301542,15.33274682,15.37131257,16.04359678
4258173,Nico Collins,HOU,WR,6,260.4799685,ACTIVE,1,0,weekly,17.43672114,14.2,16.86917649,16.65111303,17.73001929,0.0,16.64215029,17.36523314,16.92429378,16.82141182,16.7356478,17.33535576,17.05179257,17.20726582,16.83517332,16.98355743,16.92702503
4047365,Josh Jacobs,GB,RB,5,279.06680849,ACTIVE,1,0,weekly,15.69768227,18.27101914,16.86774644,18.73746651,0.0,18.43643687,17.18267286,17.55883911,19.37509905,17.15356584,18.48094868,17.8396395,16.86342099,19.37151613,16.85368849,18.84679271,17.09897531
4242335,Jonathan Taylor,IND,RB,11,288.56823690000004,ACTIVE,1,0,weekly,12.8,15.56022228,18.71528152,16.38608841,17.90241145,17.1026457,16.12022262,19.2898404,16.94813049,17.09822699,0.0,16.41067916,17.37571953,16.7821196,16.51409901,17.06231795,17.32705734
4890973,Ashton Jeanty,LV,RB,8,235.83087985000003,ACTIVE,2,0,weekly,17.52979457,17.29253319,15.39699852,16.92192982,15.2769049,17.06303919,14.7238088,0.0,15.46770701,14.52187563,16.82941937,15.03899443,14.39256848,14.99724569,14.35730734,14.93593016,16.50715051
