Christian McCaffrey RB - SF View News,Annihilators
Jonathan Taylor RB - IND,Brock and a Hard Place
Jahmyr Gibbs RB - DET,Fishoutawater
Josh Allen QB - BUF,The Injury Report
Jaxon Smith-Njigba WR - SEA,Brock and a Hard Place
Drake Maye QB - NE,Striking Shibas
Patrick Mahomes QB - KC,Sea Sharp
De'Von Achane RB - MIA,Striking Shibas
Jalen Hurts QB - PHI,Pidgin
Bijan Robinson RB - ATL,Brock and a Hard Place
Matthew Stafford QB - LAR,Brock and a Hard Place
George Pickens WR - DAL Q View News,Brock and a Hard Place
Dak Prescott QB - DAL,Annihilators
Amon-Ra St. Brown WR - DET,Fishoutawater
Caleb Williams QB - CHI,The Injury Report
Puka Nacua WR - LAR,Brock and a Hard Place
Daniel Jones QB - IND,Chase-ing points
Justin Herbert QB - LAC,Fishoutawater
James Cook RB - BUF,Chase-ing points
Trey McBride TE - ARI,Chase-ing points
Bo Nix QB - DEN,Brock and a Hard Place
Ja'Marr Chase WR - CIN View News,Chase-ing points
Jared Goff QB - DET,Fishoutawater
Baker Mayfield QB - TB Q View News,The Eskimo Brothers
Davante Adams WR - LAR,Saquon Deez
Josh Jacobs RB - GB Q View News,Chase-ing points
Javonte Williams RB - DAL,Sea Sharp
Drake London WR - ATL Q,Striking Shibas
Rico Dowdle RB - CAR View News,The Injury Report
Jordan Love QB - GB,Chase-ing points
Kyren Williams RB - LAR,Striking Shibas
Ashton Jeanty RB - LV Q View News,Sea Sharp
Sam Darnold QB - SEA,Saquon Deez
Tetairoa McMillan WR - CAR View News,Striking Shibas
Chris Olave WR - NO,Fishoutawater
Michael Pittman WR - IND,The Injury Report
Wan'Dale Robinson WR - NYG,The Injury Report
Travis Etienne RB - JAX,The Eskimo Brothers
Saquon Barkley RB - PHI,Saquon Deez
Emeka Egbuka WR - TB,Saquon Deez
Jaxson Dart QB - NYG Q,The Eskimo Brothers
Derrick Henry RB - BAL,Fishoutawater
Breece Hall RB - NYJ,The Injury Report
Justin Jefferson WR - MIN,Striking Shibas
