Christian McCaffrey RB - SF,Annihilators
Jonathan Taylor RB - IND,Brock and a Hard Place
Josh Allen QB - BUF,The Injury Report
De'Von Achane RB - MIA,Striking Shibas
Drake Maye QB - NE,Striking Shibas
Patrick Mahomes QB - KC,Sea Sharp
Jaxon Smith-Njigba WR - SEA,Brock and a Hard Place
Bijan Robinson RB - ATL,Brock and a Hard Place
Justin Herbert QB - LAC,Fishoutawater
Jahmyr Gibbs RB - DET,Fishoutawater
Matthew Stafford QB - LAR,Brock and a Hard Place
Jalen Hurts QB - PHI,Pidgin
Bo Nix QB - DEN,Brock and a Hard Place
Ja'Marr Chase WR - CIN SUS,Chase-ing points
Puka Nacua WR - LAR,Brock and a Hard Place
Dak Prescott QB - DAL View News,Annihilators
Daniel Jones QB - IND,Chase-ing points
Caleb Williams QB - CHI,The Injury Report
George Pickens WR - DAL View News,Brock and a Hard Place
Amon-Ra St. Brown WR - DET,Fishoutawater
Trey McBride TE - ARI,Chase-ing points
James Cook RB - BUF,Chase-ing points
Josh Jacobs RB - GB Q,Chase-ing points
Baker Mayfield QB - TB,The Eskimo Brothers
Drake London WR - ATL D,Striking Shibas
Jared Goff QB - DET,Fishoutawater
Javonte Williams RB - DAL View News,Sea Sharp
Kyren Williams RB - LAR,Striking Shibas
Jordan Love QB - GB,Chase-ing points
Rico Dowdle RB - CAR,The Injury Report
Jaxson Dart QB - NYG Q,The Eskimo Brothers
Davante Adams WR - LAR,Saquon Deez
Emeka Egbuka WR - TB,Saquon Deez
Tetairoa McMillan WR - CAR,Striking Shibas
Jaylen Waddle WR - MIA,Sea Sharp
Saquon Barkley RB - PHI,Saquon Deez
Michael Pittman WR - IND,The Injury Report
Chris Olave WR - NO,Fishoutawater
Sam Darnold QB - SEA,Saquon Deez
Aaron Rodgers QB - PIT Q View News,Annihilators
Justin Jefferson WR - MIN,Striking Shibas
Stefon Diggs WR - NE,Striking Shibas
Travis Etienne RB - JAX,The Eskimo Brothers
Ladd McConkey WR - LAC,Striking Shibas
Deebo Samuel Sr. WR - WAS,Chase-ing points
Ashton Jeanty RB - LV View News,Sea Sharp
Lamar Jackson QB - BAL,Saquon Deez
Jake Ferguson TE - DAL View News,Fishoutawater
Keenan Allen WR - LAC,Annihilators
Travis Kelce TE - KC,The Injury Report
Breece Hall RB - NYJ,The Injury Report
Nico Collins WR - HOU View News,Annihilators
Derrick Henry RB - BAL,Fishoutawater
Tyler Warren TE - IND,Striking Shibas
Courtland Sutton WR - DEN,The Eskimo Brothers
D'Andre Swift RB - CHI,Brock and a Hard Place
Rome Odunze WR - CHI,The Eskimo Brothers
Chase Brown RB - CIN,Annihilators
DeVonta Smith WR - PHI,Chase-ing points
Tee Higgins WR - CIN,The Eskimo Brothers
Wan'Dale Robinson WR - NYG,The Injury Report
Troy Franklin WR - DEN,Fishoutawater
Zay Flowers WR - BAL,Pidgin
Cam Skattebo RB - NYG IR,Chase-ing points
TreVeyon Henderson RB - NE,Brock and a Hard Place
DK Metcalf WR - PIT,Saquon Deez
Quentin Johnston WR - LAC,Fishoutawater
Jaylen Warren RB - PIT Q View News,Annihilators
Jameson Williams WR - DET,Sea Sharp
Tucker Kraft TE - GB IR,Sea Sharp
J.K. Dobbins RB - DEN IR,Saquon Deez
Romeo Doubs WR - GB,Sea Sharp
Dallas Goedert TE - PHI,Sea Sharp
Quinshon Judkins RB - CLE,The Eskimo Brothers
Marvin Harrison Jr. WR - ARI Q,The Eskimo Brothers
Jayden Daniels QB - WAS O,Striking Shibas
Kenneth Walker III RB - SEA,Pidgin
David Montgomery RB - DET,Chase-ing points
Khalil Shakir WR - BUF,The Injury Report
Juwan Johnson TE - NO,Fishoutawater
RJ Harvey RB - DEN,The Injury Report
CeeDee Lamb WR - DAL View News,The Injury Report
Sam LaPorta TE - DET IR,Annihilators
Jacoby Brissett QB - ARI,Pidgin
