week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,0.0,14.6,14.7,15.6,6.0,54.3,50.9
2,21.3,21.6,16.8,12.4,4.0,53.8,76.1
3,0.0,33.3,19.7,0.0,12.0,42.8,65.0
4,16.1,24.4,28.8,18.6,13.0,76.2,100.9
5,8.0,16.2,9.2,16.2,13.0,51.2,62.6
6,22.5,26.3,27.0,18.3,8.0,94.3,102.1
7,13.4,21.3,20.9,20.5,0.0,89.2,76.1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,15.4,7.6,41.9,10.4,4.0,105.4,79.3
10,4.9,22.3,33.0,1.8,15.0,98.6,77.0
11,19.3,42.1,12.7,24.7,14.0,124.1,112.8
12,17.1,22.3,33.1,14.3,13.0,95.3,99.8
