week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,24.2,11.6,33.2,7.3,6.0,80.5,82.3
2,0.0,34.8,9.9,7.7,0.0,42.9,52.4
3,0.0,6.1,15.0,7.2,5.0,79.3,33.3
4,12.8,31.4,29.2,13.5,5.0,76.4,92.0
5,0.0,15.0,9.5,30.0,5.0,67.9,59.5
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,24.0,5.2,64.7,4.8,3.0,82.4,101.8
8,25.3,19.7,51.5,18.7,14.0,48.8,129.2
9,19.4,16.8,40.1,2.1,6.0,85.3,84.4
10,16.6,22.8,19.7,14.1,13.0,87.7,86.2
11,10.3,19.7,21.3,16.5,15.0,64.8,82.8
12,7.1,26.5,14.2,4.9,12.0,57.8,64.7
