week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,0.0,6.4,18.8,3.9,8.0,81.0,37.1
2,20.9,16.0,24.6,30.2,10.0,70.3,101.6
3,26.1,6.3,53.5,14.2,4.0,77.0,104.1
4,0.0,39.2,27.5,18.0,0.0,61.1,84.7
5,14.6,15.9,35.1,2.4,6.0,83.0,74.0
6,19.9,30.9,27.3,4.1,0.0,79.8,82.2
7,23.3,18.8,37.1,24.6,18.0,75.3,121.8
8,23.0,23.8,49.2,26.2,4.0,51.0,126.2
9,27.2,13.7,33.8,22.4,9.0,63.8,106.1
10,24.8,48.3,52.7,2.6,13.0,69.4,141.4
11,6.8,32.0,26.0,6.2,11.0,65.3,82.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
