week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,17.5,12.0,26.0,23.1,10.0,86.7,88.6
2,18.6,28.5,27.3,0.0,11.0,89.8,85.4
3,11.7,22.7,32.3,7.8,3.0,82.0,77.5
4,10.3,13.9,10.2,0.0,7.7,91.0,42.1
5,19.4,5.9,18.1,20.3,9.0,90.6,72.7
6,0.0,12.6,17.8,9.5,0.0,97.3,39.9
7,10.2,19.1,29.9,16.5,10.0,94.1,85.7
8,0.0,12.6,18.2,32.1,7.0,106.9,69.9
9,0.0,18.2,43.9,7.8,0.0,89.7,69.9
10,22.9,16.5,23.5,17.2,5.0,89.6,85.1
11,0.0,9.5,15.5,13.3,2.0,101.2,40.3
12,0.0,15.0,18.7,9.4,13.0,90.2,56.1
13,13.6,23.5,25.9,5.9,1.0,99.1,69.9
