week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,0.1,26.8,13.5,12.9,0.0,77.3,53.3
2,15.0,21.3,22.9,5.9,9.0,73.3,74.1
3,16.7,12.6,30.0,8.1,10.0,76.8,77.4
4,19.4,17.4,11.1,19.7,7.0,99.9,74.6
5,27.6,21.4,60.5,26.3,4.0,113.7,139.8
6,0.0,27.9,1.7,0.0,18.0,66.2,47.6
7,10.3,42.7,41.5,5.3,7.0,49.4,106.8
8,4.3,10.6,16.6,13.7,0.0,53.9,45.3
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,18.1,28.0,37.6,1.9,4.0,85.1,89.6
11,42.7,35.4,11.4,3.3,8.0,80.8,100.8
12,22.9,8.2,39.9,20.0,13.0,30.5,104.0
13,19.6,16.8,22.9,25.9,6.0,75.2,91.2
