week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,6.8,11.5,34.3,5.1,8.0,40.6,65.7
2,17.3,20.4,55.1,7.8,0.0,67.8,100.6
3,15.8,32.8,35.4,6.8,0.0,71.3,90.8
4,18.4,36.1,30.0,8.0,9.0,39.9,101.5
5,0.0,15.5,20.6,12.1,3.0,62.6,51.2
6,8.7,20.2,19.0,16.0,10.0,56.7,73.9
7,23.1,17.3,39.4,7.3,7.0,85.7,94.1
8,23.2,37.4,45.3,9.3,0.0,84.1,115.2
9,27.7,3.0,34.8,11.8,11.0,56.1,88.3
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,7.8,42.5,12.8,0.0,70.3,63.1
12,17.7,22.6,42.0,5.3,13.0,86.1,100.6
13,21.7,14.0,29.7,13.5,6.0,54.9,84.9
