week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,0.0,25.1,31.6,20.3,4.0,76.1,81.0
2,19.2,33.6,57.1,6.9,10.0,128.7,126.9
3,16.5,29.6,21.3,24.1,15.0,57.4,106.5
4,25.7,33.8,50.7,16.2,4.0,46.8,130.5
5,20.1,35.0,32.9,29.1,5.0,113.1,122.1
6,15.0,33.8,27.8,15.7,10.0,100.6,102.3
7,22.6,25.5,18.4,49.7,8.0,146.2,124.1
8,20.9,52.7,33.9,17.8,12.0,124.8,137.2
9,39.5,27.8,59.3,31.8,10.0,157.8,168.4
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,18.4,39.7,15.8,22.2,10.0,78.0,106.1
12,16.0,13.1,21.4,31.4,18.0,85.1,99.9
13,6.5,30.2,12.8,23.9,2.0,116.8,75.4
14,37.8,19.6,24.5,38.7,7.0,120.7,127.7
