week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,2.6,8.1,16.2,7.5,15.0,85.2,49.4
2,22.8,30.1,30.2,13.9,20.0,99.4,117.2
3,14.6,27.8,48.9,14.0,12.0,85.9,117.3
4,6.7,10.8,19.2,7.0,3.0,130.5,46.8
5,19.5,20.4,32.1,14.7,5.0,99.2,91.7
6,4.9,8.6,13.0,3.3,12.0,81.9,41.8
7,28.4,29.2,21.6,33.4,0.0,138.5,112.6
8,12.9,21.3,44.6,19.5,6.0,139.6,104.4
9,10.5,7.3,32.2,14.9,17.0,87.8,81.9
10,4.4,17.9,21.5,9.9,7.0,57.0,60.7
11,13.3,17.7,32.6,28.1,7.0,95.2,98.8
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,23.3,17.1,44.0,26.4,8.0,111.6,118.7
14,17.5,7.1,34.7,18.8,6.0,99.9,84.1
