week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,26.2,12.5,53.6,14.0,11.0,118.4,117.3
2,3.2,14.4,13.2,11.7,12.0,93.3,54.5
3,13.4,24.1,30.1,9.3,9.0,117.3,85.9
4,20.2,15.8,15.9,13.5,0.0,91.8,65.3
5,17.1,30.5,32.2,11.6,0.0,85.7,91.4
6,6.6,35.7,31.6,15.3,9.0,117.4,98.2
7,22.2,39.6,36.9,18.5,1.0,137.9,118.2
8,8.3,11.0,31.2,8.5,5.0,131.5,64.0
9,6.4,17.0,23.2,5.5,9.0,90.8,61.1
10,6.4,13.8,25.7,10.8,5.0,91.8,61.7
11,15.0,36.3,33.6,6.6,5.0,52.7,96.5
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,12.0,12.8,13.5,25.1,2.0,86.5,65.3
14,0.4,19.9,27.9,17.3,16.0,75.6,81.5
