week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,15.9,16.1,39.7,12.6,7.0,92.9,91.3
2,18.8,10.4,50.6,5.5,8.0,54.5,93.3
3,20.3,27.8,41.2,8.4,0.0,109.6,97.6
4,11.8,17.8,35.6,9.1,19.0,91.5,93.2
5,18.9,40.4,34.0,14.9,16.0,79.2,124.2
6,6.9,16.4,22.8,21.2,0.0,81.8,67.3
7,26.2,27.3,51.9,12.2,7.0,50.2,124.6
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,21.2,28.2,45.0,5.9,16.0,121.8,116.3
10,5.8,18.1,25.8,4.4,3.0,60.7,57.0
11,24.3,22.3,55.8,15.9,9.0,86.7,127.2
12,10.3,35.9,13.9,15.1,8.0,89.5,83.2
13,13.6,20.7,38.9,4.3,9.0,65.3,86.5
14,16.0,34.5,36.9,6.5,6.0,84.1,99.9
15,25.1,24.0,27.4,26.4,7.0,52.0,109.9
