week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,21.2,15.7,18.3,15.9,5.0,81.0,76.1
2,26.3,8.3,60.0,3.9,12.0,82.5,110.4
3,11.1,18.5,21.0,18.1,3.0,59.9,71.8
4,12.7,20.0,43.1,8.5,13.0,56.4,97.4
5,14.7,18.3,41.8,21.3,2.0,88.9,98.1
6,17.5,19.4,32.5,25.3,14.0,78.3,108.7
7,17.6,16.6,19.6,9.7,6.0,76.5,69.4
8,26.3,12.9,50.7,13.5,13.0,88.9,116.3
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,7.0,28.4,26.0,2.4,9.0,88.4,72.7
11,4.7,30.3,19.1,21.8,12.0,48.8,87.9
12,14.2,29.8,20.0,21.5,4.0,83.2,89.5
13,17.3,24.7,18.5,11.7,0.0,79.1,72.2
14,11.1,34.8,26.8,7.4,8.0,120.9,88.1
15,19.0,25.9,43.8,15.7,7.0,59.6,111.5
