week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,20.3,25.4,40.0,14.2,3.0,65.9,102.9
2,22.1,35.6,56.9,19.8,23.0,159.6,157.4
3,13.2,18.5,39.2,11.3,12.0,61.8,94.2
4,12.5,31.5,37.9,4.9,5.0,67.5,91.8
5,16.1,15.4,16.2,7.8,0.0,83.9,55.5
6,20.6,12.2,25.6,26.4,6.0,97.8,90.9
7,40.0,22.7,55.4,15.4,5.0,115.0,138.5
8,25.4,44.0,25.4,20.4,8.0,76.4,123.2
9,15.8,47.8,30.7,9.4,12.0,97.7,115.7
10,25.1,24.1,41.9,11.0,6.0,92.5,108.1
11,23.5,18.7,41.2,9.6,1.0,85.9,94.0
12,17.2,62.2,51.5,5.9,12.0,120.5,148.7
13,20.5,23.0,41.0,14.7,14.0,72.1,113.2
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,14.7,16.8,37.1,9.6,13.0,94.7,91.2
