week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,5.5,16.4,37.9,5.0,8.0,96.8,72.9
2,21.7,20.6,18.7,16.9,0.0,110.9,77.9
3,14.1,14.8,17.7,19.8,6.0,96.4,72.4
4,11.7,24.4,31.6,22.9,8.0,96.7,98.5
5,25.6,32.4,53.4,11.4,0.0,123.5,122.8
6,19.6,26.2,39.4,10.7,6.0,101.9,101.9
7,12.2,22.8,22.9,13.7,0.0,95.2,71.6
8,21.7,26.8,55.4,8.5,14.0,80.9,126.4
9,27.2,13.8,37.3,14.4,5.0,115.7,97.7
10,26.9,28.0,43.6,33.4,6.0,121.7,137.9
11,21.9,26.3,57.1,28.6,3.0,117.2,136.9
12,8.3,20.1,26.8,5.4,2.0,78.3,62.6
13,10.6,27.8,19.7,13.7,7.3,72.2,79.1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,24.1,15.4,22.2,5.0,128.0,81.7
