week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,25.8,24.3,48.1,19.3,15.0,111.4,132.4
2,12.8,29.5,30.3,13.1,14.0,55.4,99.7
3,17.7,17.4,39.9,8.4,20.0,91.6,103.3
4,15.7,20.6,27.4,20.6,10.0,118.9,94.3
5,28.3,29.6,41.1,25.8,7.0,123.2,131.7
6,13.4,13.3,24.3,21.9,9.0,41.8,81.9
7,12.7,18.6,40.2,11.7,7.0,52.4,90.3
8,24.3,42.5,38.8,11.2,8.0,135.7,124.8
9,0.0,0.0,0.0,0.0,0.0,1.7,0.0
10,20.1,11.5,29.3,18.5,9.0,72.7,88.4
11,15.4,42.2,42.8,10.2,9.0,72.7,119.6
12,7.2,30.2,23.7,6.2,11.0,75.6,78.3
13,13.4,43.8,25.6,17.4,7.0,97.0,107.2
14,9.1,42.5,25.7,12.1,13.0,67.0,102.4
15,44.3,43.4,40.4,9.4,12.0,84.5,149.5
16,17.1,6.9,52.5,35.1,19.0,62.5,130.7
