team,offensive_rank,defensive_rank,def_vs_qb_rank,def_vs_rb_rank,def_vs_wr_rank,def_vs_te_rank,def_vs_k_rank
ARI,20,21,17,28,15,1,12
ATL,28,8,16,10,11,20,29
BAL,15,31,31,6,32,21,24
BUF,4,26,28,26,25,22,4
CAR,24,22,27,30,14,31,28
CHI,10,1,7,29,10,13,26
CIN,26,9,30,17,18,32,19
CLE,30,13,21,4,19,30,13
DAL,2,23,24,22,31,14,8
DEN,17,27,26,16,24,12,22
DET,3,3,15,9,29,3,15
GB,7,29,3,23,17,10,6
HOU,21,7,5,12,13,9,17
IND,1,4,4,20,26,26,20
JAX,22,2,29,31,28,29,16
KC,6,18,23,2,8,28,3
LAC,16,15,22,5,23,18,2
LAR,11,5,25,11,12,27,14
LV,31,19,12,15,2,25,23
MIA,25,24,10,18,1,24,31
MIN,18,14,13,1,30,7,11
NE,8,11,8,21,3,15,32
NO,29,12,18,27,21,17,25
NYG,19,28,19,25,5,2,18
NYJ,27,32,11,8,20,6,30
PHI,14,20,14,3,6,8,5
PIT,12,6,20,7,16,19,7
SEA,5,16,1,19,9,11,1
SF,23,25,6,32,22,5,21
TB,13,17,32,13,27,23,27
TEN,32,10,9,24,7,4,9
WSH,9,30,2,14,4,16,10
