name,position,team,adp,bye_week,injury_status,id
Brandon Aubrey,K,DAL,186.91666666666666,10,Healthy,11533
Mykel Williams,DL,SF,299.4,14,Questionable,12602
CeeDee Lamb,WR,DAL,8.471428571428572,10,Healthy,6786
Bucky Irving,RB,TB,23.442857142857143,9,Healthy,11584
Jerry Jeudy,WR,CLE,82.12857142857142,9,Healthy,6783
Kayshon Boutte,WR,NE,279.0,14,Healthy,9504
Omarion Hampton,RB,LAC,31.257142857142856,12,Healthy,12507
Jaleel McLaughlin,RB,DEN,279.15000000000003,12,Healthy,11439
Oronde Gadsden,TE,LAC,277.6857142857143,12,Healthy,12493
Kyle Pitts,TE,ATL,113.47142857142856,5,Healthy,7553
Joe Flacco,QB,CLE,265.65999999999997,9,Healthy,19
Henry To'oTo'o,LB,HOU,368.2,6,Healthy,10970
Ryan Griffin,QB,,281.0,0,Healthy,1550
Theo Riddick,RB,,284.0,0,Healthy,1517
Leonard Williams,DE,SEA,369.6,8,Healthy,2311
Mike Green,DL,BAL,345.1,7,Healthy,12571
Algernon Brown,FB,,297.6,0,Healthy,4673
Audric Estime,RB,PHI,264.71999999999997,9,Healthy,11579
Jeffery Simmons,DT,TEN,382.7,10,Healthy,6125
Texans,DEF,HOU,204.1142857142857,6,Healthy,HOU
Dak Prescott,QB,DAL,110.98571428571428,10,Healthy,3294
Logan Wilson,LB,CIN,209.8,10,Healthy,6880
Alex McNulty,K,,277.1,0,Healthy,12180
Matthew Stafford,QB,LAR,192.74285714285716,8,Healthy,421
Khalil Shakir,WR,BUF,105.5,7,Questionable,8134
Noah Gray,TE,KC,256.09999999999997,10,Healthy,7828
Dallas Turner,LB,MIN,335.6,6,Healthy,11667
Patriots,DEF,NE,252.65714285714284,14,Healthy,NE
Joe Milton,QB,DAL,289.96666666666664,10,Healthy,11557
Justice Hill,RB,BAL,246.72857142857143,7,Healthy,5995
Marquise Williams,QB,,288.0,0,Healthy,3524
Colston Loveland,TE,CHI,86.60000000000001,5,Healthy,12517
Kevin Hogan,QB,,291.0,0,Healthy,3318
James Cook,RB,BUF,38.9,7,Healthy,8138
Alex Anzalone,LB,DET,284.8,8,Healthy,4118
Julian Love,DB,SEA,188.7,8,Healthy,5876
Efton Chism,WR,NE,275.65,14,Questionable,12542
Jauan Jennings,WR,SF,119.55714285714285,14,Questionable,7049
Rachaad White,RB,TB,152.85714285714286,9,Questionable,8136
Malik Washington,WR,MIA,281.8,12,Healthy,11610
Sam Darnold,QB,SEA,191.4,8,Healthy,4943
Brian Branch,DB,DET,117.5,8,Healthy,10905
Jayden Reed,WR,GB,105.42857142857143,5,Questionable,10222
Cade Otton,TE,TB,189.35714285714286,9,Questionable,8111
Chris Moore,WR,WAS,296.4,12,Healthy,3269
Bradley Chubb,LB,MIA,366.3,12,Healthy,4967
Khalil Herbert,RB,,299.8,0,Healthy,7608
Harrison Butker,K,KC,198.79999999999998,10,Healthy,4227
Jaxon Smith-Njigba,WR,SEA,30.3,8,Healthy,9488
