week,team,opponent
1,ARI,LAC
1,ATL,PIT
1,BAL,IND
1,BUF,HOU
1,CAR,CHI
1,CHI,CAR
1,CIN,TB
1,CLE,JAX
1,DAL,NYG
1,DEN,KC
1,DET,NO
1,GB,MIN
1,HOU,BUF
1,IND,BAL
1,JAX,CLE
1,KC,DEN
1,LAC,ARI
1,LAR,SF
1,LV,MIA
1,MIA,LV
1,MIN,GB
1,NE,SEA
1,NO,DET
1,NYG,DAL
1,NYJ,TEN
1,PHI,WSH
1,PIT,ATL
1,SEA,NE
1,SF,LAR
1,TB,CIN
1,TEN,NYJ
1,WSH,PHI
2,ARI,SEA
2,ATL,CAR
2,BAL,NO
2,BUF,DET
2,CAR,ATL
2,CHI,MIN
2,CIN,HOU
2,CLE,TB
2,DAL,WSH
2,DEN,JAX
2,DET,BUF
2,GB,NYJ
2,HOU,CIN
2,IND,KC
2,JAX,DEN
2,KC,IND
2,LAC,LV
2,LAR,NYG
2,LV,LAC
2,MIA,SF
2,MIN,CHI
2,NE,PIT
2,NO,BAL
2,NYG,LAR
2,NYJ,GB
2,PHI,TEN
2,PIT,NE
2,SEA,ARI
2,SF,MIA
2,TB,CLE
2,TEN,PHI
2,WSH,DAL
3,ARI,SF
3,ATL,GB
3,BAL,DAL
3,BUF,LAC
3,CAR,CLE
3,CHI,PHI
3,CIN,PIT
3,CLE,CAR
3,DAL,BAL
3,DEN,LAR
3,DET,NYJ
3,GB,ATL
3,HOU,IND
3,IND,HOU
3,JAX,NE
3,KC,MIA
3,LAC,BUF
3,LAR,DEN
3,LV,NO
3,MIA,KC
3,MIN,TB
3,NE,JAX
3,NO,LV
3,NYG,TEN
3,NYJ,DET
3,PHI,CHI
3,PIT,CIN
3,SEA,WSH
3,SF,ARI
3,TB,MIN
3,TEN,NYG
3,WSH,SEA
4,ARI,NYG
4,ATL,NO
4,BAL,TEN
4,BUF,NE
4,CAR,DET
4,CHI,NYJ
4,CIN,JAX
4,CLE,PIT
4,DAL,HOU
4,DEN,SF
4,DET,CAR
4,GB,TB
4,HOU,DAL
4,IND,WSH
4,JAX,CIN
4,KC,LV
4,LAC,SEA
4,LAR,PHI
4,LV,KC
4,MIA,MIN
4,MIN,MIA
4,NE,BUF
4,NO,ATL
4,NYG,ARI
4,NYJ,CHI
4,PHI,LAR
4,PIT,CLE
4,SEA,LAC
4,SF,DEN
4,TB,GB
4,TEN,BAL
4,WSH,IND
5,ARI,DET
5,ATL,BAL
5,BAL,ATL
5,BUF,LAR
5,CAR,
5,CHI,GB
5,CIN,MIA
5,CLE,NYJ
5,DAL,TB
5,DEN,LAC
5,DET,ARI
5,GB,CHI
5,HOU,TEN
5,IND,PIT
5,JAX,PHI
5,KC,
5,LAC,DEN
5,LAR,BUF
5,LV,NE
5,MIA,CIN
5,MIN,NO
5,NE,LV
5,NO,MIN
5,NYG,WSH
5,NYJ,CLE
5,PHI,JAX
5,PIT,IND
5,SEA,SF
5,SF,SEA
5,TB,DAL
5,TEN,HOU
5,WSH,NYG
6,ARI,LAR
6,ATL,CHI
6,BAL,CLE
6,BUF,LV
6,CAR,PHI
6,CHI,ATL
6,CIN,
6,CLE,BAL
6,DAL,GB
6,DEN,SEA
6,DET,
6,GB,DAL
6,HOU,JAX
6,IND,TEN
6,JAX,HOU
6,KC,LAC
6,LAC,KC
6,LAR,ARI
6,LV,BUF
6,MIA,
6,MIN,
6,NE,NYJ
6,NO,NYG
6,NYG,NO
6,NYJ,NE
6,PHI,CAR
6,PIT,TB
6,SEA,DEN
6,SF,WSH
6,TB,PIT
6,TEN,IND
6,WSH,SF
7,ARI,DEN
7,ATL,SF
7,BAL,CIN
7,BUF,
7,CAR,TB
7,CHI,NE
7,CIN,BAL
7,CLE,TEN
7,DAL,PHI
7,DEN,ARI
7,DET,GB
7,GB,DET
7,HOU,NYG
7,IND,MIN
7,JAX,
7,KC,SEA
7,LAC,
7,LAR,LV
7,LV,LAR
7,MIA,NYJ
7,MIN,IND
7,NE,CHI
7,NO,PIT
7,NYG,HOU
7,NYJ,MIA
7,PHI,DAL
7,PIT,NO
7,SEA,KC
7,SF,ATL
7,TB,CAR
7,TEN,CLE
7,WSH,
8,ARI,DAL
8,ATL,TB
8,BAL,BUF
8,BUF,BAL
8,CAR,GB
8,CHI,SEA
8,CIN,TEN
8,CLE,PIT
8,DAL,ARI
8,DEN,KC
8,DET,MIN
8,GB,CAR
8,HOU,
8,IND,JAX
8,JAX,IND
8,KC,DEN
8,LAC,LAR
8,LAR,LAC
8,LV,NYJ
8,MIA,NE
8,MIN,DET
8,NE,MIA
8,NO,
8,NYG,
8,NYJ,LV
8,PHI,WSH
8,PIT,CLE
8,SEA,CHI
8,SF,
8,TB,ATL
8,TEN,CIN
8,WSH,PHI
9,ARI,SEA
9,ATL,CIN
9,BAL,JAX
9,BUF,MIN
9,CAR,DEN
9,CHI,TB
9,CIN,ATL
9,CLE,NO
9,DAL,IND
9,DEN,CAR
9,DET,MIA
9,GB,NE
9,HOU,LAC
9,IND,DAL
9,JAX,BAL
9,KC,NYJ
9,LAC,HOU
9,LAR,WSH
9,LV,SF
9,MIA,DET
9,MIN,BUF
9,NE,GB
9,NO,CLE
9,NYG,PHI
9,NYJ,KC
9,PHI,NYG
9,PIT,
9,SEA,ARI
9,SF,LV
9,TB,CHI
9,TEN,
9,WSH,LAR
10,ARI,LAR
10,ATL,KC
10,BAL,LAC
10,BUF,NYJ
10,CAR,NO
10,CHI,
10,CIN,PIT
10,CLE,HOU
10,DAL,SF
10,DEN,
10,DET,NE
10,GB,MIN
10,HOU,CLE
10,IND,MIA
10,JAX,TEN
10,KC,ATL
10,LAC,BAL
10,LAR,ARI
10,LV,SEA
10,MIA,IND
10,MIN,GB
10,NE,DET
10,NO,CAR
10,NYG,WSH
10,NYJ,BUF
10,PHI,
10,PIT,CIN
10,SEA,LV
10,SF,DAL
10,TB,
10,TEN,JAX
10,WSH,NYG
11,ARI,KC
11,ATL,
11,BAL,CAR
11,BUF,MIA
11,CAR,BAL
11,CHI,NO
11,CIN,WSH
11,CLE,
11,DAL,TEN
11,DEN,LV
11,DET,TB
11,GB,
11,HOU,IND
11,IND,HOU
11,JAX,NYG
11,KC,ARI
11,LAC,NYJ
11,LAR,
11,LV,DEN
