name,position,team,adp,bye_week,injury_status,id
Mykel Williams,DL,SF,293.8,14,questionable,12602
Kayshon Boutte,WR,NE,274.46666666666664,14,healthy,9504
Jaleel McLaughlin,RB,DEN,272.3,12,healthy,11439
Oronde Gadsden,TE,LAC,261.75714285714287,12,healthy,12493
Joe Flacco,QB,CLE,269.45,9,healthy,19
Henry To'oTo'o,LB,HOU,327.2,6,healthy,10970
Leonard Williams,DE,SEA,369.7,8,healthy,2311
Mike Green,DL,BAL,314.5,7,healthy,12571
Audric Estime,RB,DEN,255.14000000000001,12,healthy,11579
Jeffery Simmons,DT,TEN,382.9,10,healthy,6125
Dak Prescott,QB,DAL,112.05714285714285,10,healthy,3294
Logan Wilson,LB,CIN,208.3,10,healthy,6880
Matthew Stafford,QB,LAR,180.52857142857144,8,questionable,421
Khalil Shakir,WR,BUF,102.91428571428571,7,questionable,8134
Noah Gray,TE,KC,257.7,10,healthy,7828
Dallas Turner,LB,MIN,297.0,6,healthy,11667
Patriots,DEF,NE,257.3285714285714,14,healthy,NE
Joe Milton,QB,DAL,288.5,10,healthy,11557
Alex Anzalone,LB,DET,281.0,8,healthy,4118
Julian Love,DB,SEA,197.3,8,healthy,5876
Efton Chism,WR,NE,278.3,14,healthy,12542
C.J. Gardner-Johnson,DB,HOU,389.2,6,questionable,5893
Jauan Jennings,WR,SF,120.10000000000001,14,questionable,7049
Rachaad White,RB,TB,147.5,9,questionable,8136
Malik Washington,WR,MIA,263.2,12,healthy,11610
Sam Darnold,QB,SEA,181.12857142857143,8,healthy,4943
Brian Branch,DB,DET,118.4,8,healthy,10905
Jayden Reed,WR,GB,103.41428571428571,5,questionable,10222
Cade Otton,TE,TB,177.9857142857143,9,healthy,8111
Bradley Chubb,LB,MIA,375.1,12,healthy,4967
Odafe Oweh,LB,BAL,385.3,7,healthy,7626
Khalil Herbert,RB,IND,299.5,11,questionable,7608
Harrison Butker,K,KC,239.26666666666665,10,healthy,4227
Isaiah Davis,RB,NYJ,269.925,9,questionable,11571
Quincy Williams,LB,NYJ,203.4,9,healthy,6214
Younghoe Koo,K,ATL,276.6666666666667,5,healthy,4666
Brandin Cooks,WR,NO,279.65,11,healthy,2197
Daniel Jones,QB,IND,234.42,11,healthy,5870
George Karlaftis,DL,KC,251.3,10,healthy,8385
TreVeyon Henderson,RB,NE,50.4,14,healthy,12529
Isaac TeSlaa,WR,DET,247.02857142857144,8,healthy,12535
Geno Smith,QB,LV,195.02857142857144,8,healthy,1373
Tua Tagovailoa,QB,MIA,162.42857142857142,12,healthy,6768
Devin Singletary,RB,NYG,285.7,14,healthy,6130
Zach Wilson,QB,MIA,292.8,12,healthy,7538
Elijah Mitchell,RB,KC,278.96,10,healthy,7561
Michael Wilson,WR,ARI,256.4714285714286,8,healthy,10232
Nick Emmanwori,DB,SEA,286.4,8,healthy,12597
Steelers,DEF,PIT,185.54285714285714,5,healthy,PIT
Jordan Love,QB,GB,91.3,5,questionable,6804
Matt Gay,K,WAS,292.2,12,healthy,6083
Demario Davis,LB,NO,340.0,11,healthy,1052
Chris Godwin,WR,TB,96.48571428571428,9,pup,4037
Azeez Al-Shaair,LB,HOU,211.1,6,healthy,6485
Kirk Cousins,QB,ATL,280.93333333333334,5,healthy,1166
Allen Lazard,WR,NYJ,267.5,9,questionable,5185
Jake Ferguson,TE,DAL,133.4142857142857,10,questionable,8110
E.J. Speed,LB,HOU,287.2,6,healthy,6218
Will McDonald,DE,NYJ,310.3,9,questionable,10883
Zach Ertz,TE,WAS,189.08571428571432,12,healthy,1339
Devin Lloyd,LB,JAX,255.3,8,healthy,8329
Trey Benson,RB,ARI,136.78571428571428,8,healthy,11589
Kerby Joseph,DB,DET,237.4,8,healthy,8348
Isaiah Likely,TE,BAL,140.5,7,questionable,8131
Shedeur Sanders,QB,CLE,203.82857142857142,9,questionable,12524
Seahawks,DEF,SEA,234.1142857142857,8,healthy,SEA
Calvin Austin,WR,PIT,261.7,5,questionable,8125
Dyami Brown,WR,JAX,253.04999999999998,8,healthy,7587
Raiders,DEF,LV,281.0,8,healthy,LV
Evan McPherson,K,CIN,257.12,10,healthy,7839
Jalen Tolbert,WR,DAL,291.65,10,healthy,8117
Yaya Diaby,DL,TB,283.0,9,healthy,10921
Sam LaPorta,TE,DET,44.18571428571429,8,questionable,10859
Budda Baker,DB,ARI,151.8,8,healthy,4081
DeMario Douglas,WR,NE,210.84285714285716,14,healthy,9501
Jalen Nailor,WR,MIN,255.7,6,questionable,8180
DeForest Buckner,DT,IND,284.1,11,healthy,3172
Luther Burden,WR,CHI,116.88571428571429,5,healthy,12519
Dontayvion Wicks,WR,GB,243.53333333333333,5,questionable,9486
Jets,DEF,NYJ,257.8,9,healthy,NYJ
Brashard Smith,RB,KC,222.65714285714287,10,healthy,12455
Jake Moody,K,SF,271.95,14,healthy,10937
Jalen McMillan,WR,TB,153.18571428571428,9,questionable,11618
Nick Cross,DB,IND,146.5,11,questionable,8392
Trey Hendrickson,DE,CIN,169.5,10,healthy,4135
Aaron Rodgers,QB,PIT,215.81428571428572,5,healthy,96
Deebo Samuel,WR,WAS,107.8,12,healthy,5872
Jamien Sherwood,LB,NYJ,172.0,9,healthy,7841
Brenton Strange,TE,JAX,183.18571428571428,8,healthy,9480
Chase McLaughlin,K,TB,258.34000000000003,9,healthy,6650
James Conner,RB,ARI,74.41428571428571,8,healthy,4137
Brandon Jones,DB,DEN,227.4,12,healthy,6911
Laiatu Latu,DL,IND,305.3,11,healthy,11669
Sean Tucker,RB,TB,267.65,9,healthy,9506
Christian Watson,WR,GB,263.93333333333334,5,pup,8167
Alex Highsmith,LB,PIT,239.1,5,questionable,7113
Tre' Harris,WR,LAC,118.57142857142857,12,healthy,12509
Jakobi Meyers,WR,LV,108.88571428571429,8,healthy,5947
Isaac Guerendo,RB,SF,156.29999999999998,14,questionable,11651
Andrew Van Ginkel,LB,MIN,165.9,6,healthy,6183
Zach Allen,DE,DEN,303.2,12,healthy,5871
Tyler Higbee,TE,LAR,275.775,8,healthy,3271
Ricky Pearsall,WR,SF,98.55714285714285,14,healthy,11638
Emeka Egbuka,WR,TB,88.0,9,healthy,12514
Jonathon Cooper,DL,DEN,281.7,12,healthy,7765
Bryce Young,QB,CAR,140.28571428571428,14,healthy,9228
Terrance Ferguson,TE,LAR,199.78571428571428,8,questionable,12487
Cowboys,DEF,DAL,276.8666666666666,10,healthy,DAL
Luke McCaffrey,WR,WAS,268.6666666666667,12,healthy,11650
Rico Dowdle,RB,CAR,182.72857142857143,14,healthy,7021
Roman Wilson,WR,PIT,244.71428571428572,5,healthy,11630
Theo Johnson,TE,NYG,239.47142857142856,14,healthy,11597
Braelon Allen,RB,NYJ,176.77142857142857,9,healthy,11576
Dorian Williams,LB,BUF,380.2,7,healthy,10923
Elijah Moore,WR,BUF,268.125,7,healthy,7596
Keaton Mitchell,RB,BAL,245.0666666666667,7,questionable,9511
Tahj Brooks,RB,CIN,251.52857142857144,10,healthy,12543
Bobby Okereke,LB,NYG,149.2,14,healthy,5944
Blake Corum,RB,LAR,190.29999999999998,8,healthy,11586
James Pearce,DL,ATL,304.2,5,healthy,12585
Woody Marks,RB,HOU,238.6,6,healthy,12474
Tyreek Hill,WR,MIA,50.42857142857143,12,questionable,3321
Chargers,DEF,LAC,252.0666666666667,12,healthy,LAC
Tutu Atwell,WR,LAR,280.34000000000003,8,healthy,7562
T.J. Watt,LB,PIT,100.3,5,healthy,4070
Jimmy Horn,WR,CAR,245.73333333333335,14,healthy,12523
Savion Williams,WR,GB,243.76666666666665,5,healthy,12482
Kam Curl,DB,LAR,394.1,8,healthy,7136
Bobby Wagner,LB,WAS,173.7,12,healthy,1233
Zaire Franklin,LB,IND,77.9,11,questionable,5346
Donovan Ezeiruaku,DL,DAL,395.1,10,healthy,12556
Ben Sinnott,TE,WAS,249.42857142857142,12,healthy,11596
Jerome Ford,RB,CLE,190.42857142857142,9,healthy,8143
Tai Felton,WR,MIN,238.36666666666667,6,healthy,12496
Malaki Starks,DB,BAL,203.6,7,healthy,12567
Jordan Battle,DB,CIN,291.3,10,healthy,10927
Andrei Iosivas,WR,CIN,254.96666666666667,10,healthy,10226
Maxx Crosby,DE,LV,97.2,8,healthy,5991
Malachi Corley,WR,NYJ,296.9,9,healthy,11617
Buccaneers,DEF,TB,232.05714285714288,9,healthy,TB
Kenny Pickett,QB,CLE,272.25,9,questionable,8160
Chop Robinson,DE,MIA,374.6,12,healthy,11663
Will Shipley,RB,PHI,246.70000000000002,9,healthy,11577
Chimere Dike,WR,TEN,260.1,10,healthy,12540
A.J. Brown,WR,PHI,24.52857142857143,9,questionable,5859
Christian McCaffrey,RB,SF,25.685714285714287,14,healthy,4034
Diontae Johnson,WR,CLE,260.76,9,healthy,5937
Myles Garrett,DE,CLE,109.9,9,healthy,3973
Quay Walker,LB,GB,205.9,5,questionable,8266
Justin Fields,QB,NYJ,119.0,9,healthy,7591
Amari Cooper,WR,,233.1833333333333,0,healthy,2309
Byron Young,LB,LAR,298.9,8,healthy,10917
Drue Tranquill,LB,KC,399.5,10,questionable,6141
Jason Sanders,K,MIA,270.75,12,healthy,5119
Alex Singleton,LB,DEN,182.3,12,healthy,2617
Jaylin Lane,WR,WAS,257.275,12,healthy,12641
Tre Tucker,WR,LV,279.0,8,healthy,10213
Alec Pierce,WR,IND,226.64285714285714,11,questionable,8142
Hunter Henry,TE,NE,194.52857142857144,14,healthy,3214
Trevor Lawrence,QB,JAX,122.24285714285715,8,healthy,7523
Jaxson Dart,QB,NYG,181.55714285714288,14,healthy,12508
Jacory Croskey-Merritt,RB,WAS,253.52857142857144,12,questionable,12533
Khalil Mack,LB,LAC,350.6,12,healthy,2036
Antonio Gibson,RB,NE,290.8,14,healthy,6945
Tyler Nubin,DB,NYG,244.8,14,healthy,11674
Riley Leonard,QB,IND,269.7,11,healthy,12470
Mitchell Evans,TE,CAR,298.4,14,healthy,12473
DeMarvion Overshown,LB,DAL,376.2,10,pup,10933
Adam Thielen,WR,CAR,202.20000000000002,14,healthy,1689
Ollie Gordon,RB,MIA,220.62857142857143,12,healthy,12495
Jalen Carter,DL,PHI,209.3,9,healthy,10888
Jevon Holland,DB,NYG,386.9,14,healthy,7666
Tyler Conklin,TE,LAC,274.35,12,healthy,5133
Tyrel Dodson,LB,MIA,398.5,12,healthy,6315
Tyrone Tracy,RB,NYG,94.21428571428571,14,healthy,11655
Tyler Lockett,WR,TEN,261.95714285714286,10,healthy,2374
Jaguars,DEF,JAX,282.96666666666664,8,healthy,JAX
De'Von Achane,RB,MIA,19.657142857142855,12,questionable,9226
Marvin Mims,WR,DEN,148.4,12,healthy,9494
Jalon Walker,DL,ATL,207.5,5,questionable,12568
Michael Penix,QB,ATL,125.05714285714285,5,healthy,11559
Mike Gesicki,TE,CIN,210.6,10,questionable,4993
Rams,DEF,LAR,260.54285714285714,8,healthy,LAR
Lavonte David,LB,TB,247.5,9,healthy,1192
Troy Franklin,WR,DEN,267.64285714285717,12,healthy,11627
Germaine Pratt,LB,LV,293.3,8,healthy,5894
