name,position,team,adp,bye_week,injury_status,id
Jahmyr Gibbs,RB,DET,6.6571428571428575,8,healthy,9221
Brock Bowers,TE,LV,12.285714285714286,8,healthy,11604
Drake London,WR,ATL,19.657142857142855,5,healthy,8112
Joe Burrow,QB,CIN,22.642857142857142,10,healthy,6770
Garrett Wilson,WR,NYJ,32.471428571428575,9,healthy,8146
Terry McLaurin,WR,WAS,44.48571428571428,12,healthy,5927
Baker Mayfield,QB,TB,66.48571428571428,9,healthy,4892
Mark Andrews,TE,BAL,89.85714285714286,7,healthy,5012
Aaron Jones,RB,MIN,93.01428571428572,6,healthy,4199
Michael Pittman,WR,IND,129.4,11,healthy,6819
Ray Davis,RB,BUF,162.25714285714284,7,healthy,11575
Steelers,DEF,PIT,185.54285714285714,5,healthy,PIT
Titans,DEF,TEN,234.23333333333335,10,healthy,TEN
Harrison Butker,K,KC,239.26666666666665,10,healthy,4227
Younghoe Koo,K,ATL,276.6666666666667,5,healthy,4666
