name,position,team,adp,bye_week,injury_status
Saquon Barkley,RB,PHI,8.357142857142858,9,healthy
A.J. Brown,WR,PHI,24.52857142857143,9,questionable
Rashee Rice,WR,KC,43.271428571428565,10,questionable
Joe Mixon,RB,HOU,60.028571428571425,6,pup
Trey McBride,TE,ARI,21.82857142857143,8,healthy
Justin Herbert,QB,LAC,69.18571428571428,12,healthy
Emeka Egbuka,WR,TB,88.0,9,healthy
Vikings,DEF,MIN,198.6142857142857,6,healthy
Evan McPherson,K,CIN,257.12,10,healthy
Travis Etienne,RB,JAX,95.10000000000001,8,healthy
Dak Prescott,QB,DAL,112.05714285714285,10,healthy
Tyjae Spears,RB,TEN,136.9,10,healthy
Mason Taylor,TE,NYJ,157.97142857142856,9,questionable
Christian Kirk,WR,HOU,171.68571428571428,6,healthy
