week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,19.6,27.2,33.4,13.5,10.3,85.0,104.0
2,15.8,24.0,39.0,11.2,9.5,81.0,99.5
3,19.8,31.0,31.9,13.9,9.8,86.9,106.4
4,20.6,23.5,31.1,13.6,8.7,88.0,97.6
5,17.0,30.2,37.4,13.0,8.7,86.3,106.2
6,19.6,26.0,41.0,17.0,10.0,78.8,113.6
7,19.3,25.9,37.4,10.0,8.2,80.9,100.8
8,19.5,24.6,42.9,12.5,10.8,87.2,110.3
9,16.4,25.5,38.8,11.2,10.0,78.2,101.9
10,18.9,25.0,40.7,16.9,9.6,81.6,111.1
11,19.6,25.3,36.1,14.6,9.4,83.4,105.0
12,20.8,21.9,37.1,11.1,8.1,95.6,99.0
13,20.6,23.1,33.0,13.0,8.1,82.9,97.8
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15.1,25.8,30.1,14.9,7.7,89.0,93.5
16,18.2,24.6,33.7,12.1,8.7,86.2,97.3
