week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,22.8,20.0,31.1,11.2,5.0,116.7,90.1
2,16.8,8.1,11.3,4.6,8.0,81.3,48.8
3,11.6,10.7,14.6,8.6,15.0,81.2,60.5
4,16.2,18.9,36.5,9.5,0.0,137.8,81.2
5,0.0,0.0,0.0,0.0,0.0,36.9,0.0
6,15.4,21.2,35.4,10.4,2.0,124.0,84.4
7,5.2,44.5,26.4,16.2,11.0,97.8,103.3
8,0.0,37.5,30.5,3.5,10.0,99.8,81.6
9,16.4,27.4,50.1,9.1,6.0,121.5,109.0
10,15.5,51.8,23.6,19.1,5.0,86.1,115.0
11,31.8,4.0,82.7,17.4,10.0,85.6,145.9
12,7.9,35.2,34.5,14.2,0.0,57.4,91.8
13,33.3,22.7,29.9,7.3,0.0,91.0,93.3
14,22.3,12.8,58.2,9.3,14.0,61.3,116.6
15,19.2,34.4,31.8,11.0,11.0,139.9,107.4
16,12.0,18.0,29.9,23.4,15.0,82.6,98.4
