week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,38.9,24.7,63.2,22.7,12.0,123.6,161.4
2,4.8,21.0,23.5,10.8,5.0,108.0,65.1
3,12.7,32.8,32.2,13.6,8.0,110.8,99.3
4,54.4,34.4,39.3,10.9,12.0,92.8,151.0
5,30.0,34.2,49.8,14.7,18.0,49.0,146.7
6,9.3,19.0,20.5,16.9,0.0,56.7,65.7
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,11.8,17.5,19.3,6.8,10.0,83.4,65.4
9,0.0,21.3,11.2,9.9,7.0,90.6,49.4
10,14.7,20.7,14.4,4.6,9.0,80.7,63.3
11,4.4,8.7,18.2,4.6,11.0,76.0,46.9
12,27.0,16.8,13.8,8.8,0.0,72.7,66.3
13,19.2,23.7,33.7,15.0,24.0,50.0,115.6
14,21.5,15.6,44.8,5.1,9.0,78.1,96.0
15,5.5,21.3,36.4,9.9,8.2,71.0,81.4
16,23.7,20.0,50.1,17.4,10.0,78.5,121.3
