week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,16.8,20.8,38.7,12.3,9.8,92.6,98.4
2,17.0,29.0,38.3,13.4,8.6,100.7,106.3
3,18.7,25.3,33.6,13.7,9.7,102.0,101.0
4,20.5,24.6,37.2,12.2,7.7,100.3,102.2
5,19.7,24.7,42.0,17.4,9.9,93.7,113.7
6,16.3,22.9,25.0,20.9,7.9,105.0,92.9
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,20.7,25.1,33.8,13.1,8.7,98.9,101.4
9,18.9,22.0,36.9,12.3,8.8,100.6,98.9
10,15.8,25.8,31.1,15.4,8.0,100.5,96.0
11,15.6,22.7,29.4,10.8,7.6,109.9,86.1
12,18.9,23.2,36.3,14.8,8.8,100.4,102.1
13,21.4,25.5,37.6,12.3,8.1,97.8,104.8
14,17.5,24.2,38.6,12.9,9.0,99.3,102.1
15,18.3,23.5,31.9,16.8,8.6,103.4,99.0
16,20.1,25.7,38.6,10.3,8.5,92.9,103.3
