week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,10.5,21.8,47.5,18.9,15.0,65.7,113.6
2,14.2,20.6,17.9,20.3,10.0,117.4,83.0
3,4.9,20.1,22.4,8.4,0.0,72.1,55.8
4,23.2,26.4,33.2,15.3,6.0,92.7,104.1
5,22.7,24.1,39.3,25.0,7.0,105.0,118.1
6,22.3,23.0,39.9,15.3,9.0,115.9,109.5
7,6.2,13.2,21.4,8.2,7.0,90.3,56.0
8,24.1,35.8,40.8,9.3,12.0,58.2,122.0
9,9.0,27.1,30.1,12.6,7.0,61.6,85.8
10,19.0,20.6,27.3,27.2,5.0,65.2,99.1
11,10.0,39.9,27.6,4.9,12.0,147.4,94.4
12,7.3,35.4,20.5,15.1,9.0,62.6,87.3
13,11.6,27.3,54.3,10.0,4.0,104.3,107.2
