week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,15.4,22.1,30.9,12.2,7.6,94.8,88.2
2,16.4,20.1,34.5,11.5,8.1,95.9,90.6
3,18.8,21.0,32.2,12.7,7.8,89.9,92.5
4,13.5,23.5,28.9,14.4,7.3,95.9,87.8
5,16.2,22.9,36.6,12.3,8.7,91.9,96.7
6,13.4,27.4,29.3,14.5,8.6,97.9,93.1
7,19.0,23.5,35.3,11.6,7.4,92.9,96.7
8,15.1,23.1,37.9,10.9,9.6,85.2,96.6
9,15.9,24.5,36.1,7.7,8.2,94.3,92.3
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,15.6,21.6,32.1,11.6,7.9,95.8,88.8
12,16.3,28.7,36.8,12.8,8.7,90.5,103.3
13,17.7,19.0,39.4,10.2,8.5,97.8,94.8
14,14.9,22.4,28.2,10.4,7.7,100.7,83.6
15,23.1,24.4,32.5,15.1,8.3,99.0,103.4
16,15.5,22.0,36.2,12.2,8.3,94.6,94.2
