week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,0.0,0.0,0.0,13.6,0.0,32.8,13.6
2,0.0,16.9,21.7,0.0,0.0,66.6,38.6
3,0.0,0.0,12.5,0.0,0.0,17.4,12.5
4,25.7,19.8,19.1,0.0,0.0,23.6,64.6
5,20.1,34.9,20.0,0.0,5.0,52.0,80.0
6,0.0,32.0,0.0,0.0,0.0,45.2,32.0
7,0.0,23.3,8.0,0.0,8.0,71.7,39.3
8,0.0,32.9,0.0,0.0,0.0,58.0,32.9
9,38.7,0.0,37.9,0.0,0.0,69.4,76.6
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,38.2,9.9,0.0,10.0,40.0,58.1
12,16.0,13.1,4.0,24.5,0.0,23.1,57.6
13,6.5,17.4,0.6,8.7,0.0,55.5,33.2
14,37.8,11.1,0.0,0.0,0.0,79.3,48.9
15,14.6,10.0,15.8,3.8,0.0,44.7,44.2
16,0.0,18.0,12.2,0.0,0.0,96.1,30.2
