week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,8.8,13.1,10.9,0.0,0.0,13.6,32.8
2,26.3,2.3,14.9,1.4,0.0,9.8,44.9
3,0.0,12.4,0.0,0.0,0.0,5.5,12.4
4,12.7,18.9,31.7,0.0,13.0,4.5,76.3
5,0.0,0.0,19.3,0.0,0.0,11.3,19.3
6,0.0,17.9,19.5,0.0,14.0,15.1,51.4
7,0.0,12.8,2.5,0.0,0.0,7.6,15.3
8,26.3,11.4,10.4,7.7,0.0,18.4,55.8
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,19.5,0.0,0.0,0.0,8.4,19.5
11,4.7,20.2,11.3,15.7,0.0,4.6,51.9
12,0.0,24.8,0.0,0.0,0.0,8.4,24.8
13,17.1,17.4,13.9,10.7,0.0,11.3,59.1
14,0.0,28.1,0.0,0.0,0.0,25.4,28.1
15,19.0,22.6,22.9,0.0,0.0,12.0,64.5
16,6.9,26.4,0.0,0.0,0.0,19.5,33.3
