week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,24.4,23.7,26.3,13.9,8.0,82.6,96.4
2,30.8,24.0,62.1,13.4,13.0,153.8,143.3
3,29.1,13.8,36.4,12.1,7.0,115.3,98.4
4,26.3,32.8,20.6,14.0,12.0,128.4,105.7
5,5.9,30.9,33.7,24.5,0.0,122.8,95.0
6,18.5,1.7,31.2,13.7,14.0,107.7,79.1
7,21.7,22.1,41.8,24.6,14.0,128.1,124.2
8,23.8,39.6,76.2,11.9,9.0,91.7,160.5
9,24.8,14.9,45.4,22.5,13.0,86.3,120.7
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,12.8,31.1,21.8,5.0,126.7,70.7
12,30.9,15.2,44.6,8.0,2.0,119.9,100.7
13,29.4,23.2,47.6,19.2,4.0,128.0,123.5
14,16.2,40.0,45.8,2.2,15.0,132.0,119.1
15,23.5,19.4,14.0,13.4,12.0,105.1,82.3
16,30.2,22.2,55.5,4.5,10.0,94.9,122.4
