week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,0.0,7.9,0.0,0.0,0.0,32.8,7.9
2,0.0,29.5,8.0,11.9,0.0,25.2,49.4
3,14.6,24.9,27.6,0.0,12.0,41.8,79.1
4,0.0,10.1,13.5,0.0,0.0,64.6,23.6
5,19.5,17.8,28.7,10.9,0.0,41.8,76.9
6,0.0,5.9,0.0,0.0,0.0,22.6,5.9
7,28.4,10.6,15.5,0.0,0.0,63.9,54.5
8,6.6,17.9,29.4,13.1,6.0,58.6,73.1
9,0.0,2.7,14.5,0.0,0.0,45.1,17.2
10,0.0,15.3,0.0,0.0,0.0,15.0,15.3
11,0.0,0.0,9.8,24.1,0.0,30.5,33.9
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,33.7,0.0,0.0,54.8,33.7
14,0.0,5.8,0.0,0.0,0.0,50.2,5.8
15,0.0,23.2,0.0,0.0,0.0,63.9,23.2
16,0.0,16.6,12.4,0.0,0.0,57.9,29.0
