week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,15.9,15.3,25.2,12.5,9.0,83.8,77.9
2,18.8,18.5,36.6,12.1,3.0,151.6,88.9
3,27.0,18.5,31.2,27.1,7.0,99.3,110.8
4,0.0,24.2,20.3,6.2,3.0,108.9,53.7
5,0.0,16.9,56.5,4.4,8.0,116.0,85.8
6,36.4,14.3,24.9,18.3,6.0,100.1,99.9
7,11.1,5.2,33.7,13.5,5.0,115.7,68.6
8,0.0,0.0,0.0,0.0,0.0,7.7,0.0
9,18.9,16.7,25.3,10.7,11.0,93.0,82.6
10,18.7,17.4,41.2,18.4,0.0,140.5,95.7
11,14.5,15.9,21.7,11.0,11.0,87.7,74.1
12,32.2,20.7,47.5,12.7,0.0,156.2,113.2
13,25.8,13.0,48.2,7.5,8.0,115.2,102.5
14,18.4,16.5,58.3,14.7,24.0,119.1,132.0
15,20.9,35.0,42.9,30.7,12.0,125.2,141.5
16,15.5,37.4,31.3,10.6,10.0,118.5,104.8
