week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,10.9,23.3,15.1,0.0,7.0,14.0,56.3
2,0.0,0.0,27.2,0.0,0.0,14.4,27.2
3,0.0,0.0,0.0,5.5,0.0,12.4,5.5
4,31.0,19.0,33.4,17.0,8.0,31.7,108.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,8.9,36.3,0.0,0.0,32.0,45.2
7,0.0,0.0,14.8,29.4,0.0,18.8,44.2
8,0.0,12.8,16.5,0.0,20.0,13.5,49.3
9,0.0,28.1,8.6,0.0,0.0,20.0,36.7
10,12.0,13.1,20.2,8.3,0.0,19.7,53.6
11,0.0,17.9,7.6,0.0,0.0,4.0,25.5
12,0.0,8.7,8.8,0.0,0.0,0.0,17.5
13,20.6,24.4,47.6,0.0,6.0,10.1,98.7
14,14.9,11.2,0.6,0.0,0.0,17.2,26.7
15,29.1,10.5,24.3,0.0,0.0,23.2,63.9
16,21.0,9.0,21.9,0.0,0.0,4.8,51.9
