week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,13.6,13.9,32.2,0.0,0.0,5.8,59.7
2,19.9,18.1,23.5,0.0,0.0,20.3,61.5
3,0.0,11.6,16.8,0.0,0.0,27.0,28.4
4,0.0,10.6,0.0,0.0,0.0,39.8,10.6
5,0.0,9.3,12.2,4.2,0.0,18.4,25.7
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,6.6,26.3,0.0,9.0,19.2,41.9
8,0.0,9.8,8.5,14.3,0.0,15.1,32.6
9,18.5,16.6,10.0,0.0,0.0,17.2,45.1
10,0.0,15.7,7.1,0.0,0.0,38.7,22.8
11,0.0,5.6,0.0,0.0,0.0,30.3,5.6
12,8.1,21.9,0.0,0.0,0.0,16.4,30.0
13,0.0,15.1,2.3,11.2,0.0,29.2,28.6
14,0.0,0.0,7.4,1.8,0.0,31.7,9.2
15,0.0,0.0,16.4,37.4,0.0,34.3,53.8
16,0.0,31.8,0.0,0.0,0.0,9.9,31.8
