week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,19.7,24.5,32.3,12.5,8.5,88.4,97.4
2,18.6,23.6,35.2,14.3,9.1,87.3,100.7
3,14.9,19.4,36.4,11.6,9.1,84.7,91.4
4,20.0,20.7,36.4,10.9,8.0,97.6,96.1
5,14.7,24.4,33.0,12.7,8.8,83.6,93.6
6,13.7,21.6,34.5,9.2,7.2,95.2,86.2
7,17.8,21.5,35.2,11.7,8.6,90.1,94.8
8,19.0,20.3,40.3,10.3,9.1,91.9,99.0
9,17.7,21.9,41.6,12.2,10.0,93.5,103.4
10,14.6,22.1,28.0,10.3,7.4,99.7,82.4
11,15.8,20.3,36.9,11.7,9.6,82.1,94.2
12,18.5,21.2,29.9,13.2,8.0,94.2,90.8
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,20.3,22.4,32.6,12.8,8.3,84.3,96.3
15,14.5,22.4,35.1,9.3,7.7,92.7,88.9
16,18.8,23.2,40.1,12.9,8.3,96.5,103.4
