week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,8.3,18.3,21.7,6.2,5.0,84.9,59.4
2,15.8,14.0,61.8,6.5,7.0,90.7,105.1
3,10.4,43.3,29.9,11.0,3.0,70.9,97.6
4,17.7,34.5,23.0,16.8,7.0,83.9,98.9
5,52.6,41.0,27.4,22.8,4.0,85.3,147.9
6,20.0,6.5,56.1,11.7,10.0,95.3,104.3
7,27.4,13.8,40.4,24.1,0.0,83.2,105.7
8,0.0,0.0,0.0,0.0,0.0,0.2,0.0
9,0.0,22.3,20.0,51.2,2.0,102.1,95.6
10,27.7,34.1,50.6,23.6,0.0,69.3,135.9
11,4.9,15.8,29.1,9.3,8.0,77.3,67.1
12,18.7,27.9,26.2,21.4,5.0,88.8,99.2
13,6.3,14.5,27.3,10.9,3.0,95.9,62.1
14,11.1,14.3,23.0,6.0,7.0,98.8,61.3
15,8.9,20.4,28.7,8.6,0.0,116.2,66.6
16,15.2,28.5,60.4,9.0,9.0,114.5,122.0
