week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,16.8,22.7,35.0,9.4,7.6,90.9,91.5
2,15.3,20.3,29.9,14.3,7.5,100.7,87.3
3,14.2,21.5,27.2,10.1,7.6,103.6,80.5
4,14.0,20.7,22.9,19.2,7.5,100.9,84.3
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,16.5,23.0,30.9,12.7,9.2,97.7,92.3
7,14.5,22.1,37.0,10.6,9.4,88.3,93.5
8,17.7,23.6,35.5,9.5,8.0,88.1,94.3
9,12.8,22.5,28.0,14.0,7.2,98.8,84.5
10,13.9,25.4,27.2,13.5,8.4,100.8,88.4
11,13.3,21.1,25.0,17.1,6.9,105.0,83.4
12,22.3,23.5,31.8,14.8,8.2,102.1,100.4
13,17.6,22.6,39.0,16.2,9.4,88.8,104.8
14,18.4,22.6,39.3,12.6,8.4,100.2,101.3
15,18.2,22.5,34.3,11.3,7.2,95.9,93.5
16,16.7,26.9,29.6,13.2,8.8,99.6,95.1
