week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,55.5,14.9,33.7,14.0,11.0,113.2,129.2
2,0.0,14.4,19.3,13.3,4.0,93.5,51.0
3,13.4,24.1,45.0,9.3,9.0,119.5,100.8
4,20.2,15.8,19.4,18.2,0.0,93.1,73.6
5,17.1,58.7,43.2,20.4,0.0,86.6,139.5
6,0.0,32.2,10.6,9.2,9.0,117.4,61.0
7,22.2,39.6,20.7,18.5,1.0,136.9,102.0
8,8.3,11.0,26.2,8.5,5.0,145.9,58.9
9,6.4,17.0,33.7,2.5,9.0,109.9,68.6
10,6.4,26.7,26.1,8.8,5.0,96.7,73.0
11,15.0,26.5,28.7,2.1,5.0,67.1,77.3
12,0.0,0.0,0.0,0.0,0.0,5.0,0.0
13,0.0,12.8,17.8,26.1,8.0,112.7,64.6
14,0.4,19.9,31.1,17.3,16.0,85.0,84.7
15,13.1,8.1,29.0,17.3,8.0,85.1,75.5
16,19.2,11.0,52.1,7.7,5.0,122.4,94.9
