week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,15.9,26.0,32.4,9.0,8.7,107.1,92.0
2,15.7,18.3,27.9,12.5,7.4,109.3,81.8
3,16.4,21.9,34.4,9.2,7.8,96.8,89.7
4,17.6,19.3,30.9,12.1,7.7,98.9,87.7
5,19.9,21.1,30.8,14.4,7.5,113.7,93.7
6,12.1,19.4,24.1,16.6,6.6,113.6,78.8
7,12.8,19.1,22.0,18.6,7.2,109.6,79.8
8,15.3,21.4,29.9,12.3,8.9,106.5,87.8
9,17.9,18.1,34.4,10.3,7.7,111.6,88.5
10,12.9,20.3,24.5,16.8,7.0,111.1,81.6
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,13.8,19.4,34.1,11.6,7.8,106.3,86.7
13,15.5,19.6,32.4,13.3,8.1,104.8,88.8
14,16.4,26.0,29.1,13.0,8.9,105.7,93.4
15,15.4,18.8,39.1,11.5,9.4,108.7,94.2
16,13.5,20.3,36.1,10.3,9.1,97.0,89.3
