week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,15.9,15.8,36.8,15.8,7.0,72.3,91.3
2,18.8,13.7,50.6,2.5,8.0,51.0,93.5
3,20.3,31.3,45.7,20.0,0.0,101.7,117.2
4,11.8,17.8,27.8,7.6,19.0,104.4,84.0
5,18.9,40.4,26.3,14.9,16.0,91.8,116.6
6,6.9,16.4,31.7,15.9,0.0,78.6,71.0
7,30.3,21.5,42.5,12.2,7.0,49.7,113.5
8,0.0,0.0,0.0,0.0,0.0,5.9,0.0
9,21.2,24.2,39.1,1.6,16.0,95.6,102.1
10,5.8,18.1,45.2,4.4,3.0,78.3,76.4
11,24.3,22.3,55.2,15.9,9.0,70.7,126.7
12,10.3,32.9,13.9,10.1,8.0,86.7,75.2
13,13.6,44.2,38.9,7.0,9.0,64.6,112.7
14,16.0,34.5,55.0,6.5,6.0,64.0,118.0
15,25.1,24.0,24.1,28.2,7.0,70.0,108.3
16,11.5,19.5,16.0,18.7,16.0,80.2,81.6
