week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,15.3,25.6,25.9,21.4,8.1,85.3,96.3
2,20.2,31.9,35.7,9.9,9.9,81.1,107.6
3,19.2,25.0,35.8,14.5,9.0,80.5,103.6
4,19.5,23.8,36.2,12.0,9.0,80.6,100.5
5,20.5,25.4,41.3,13.3,8.7,87.1,109.2
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,16.3,27.4,30.6,15.0,8.1,80.6,97.5
8,21.0,26.3,36.5,11.9,7.8,80.3,103.5
9,17.3,30.9,37.5,13.0,8.8,80.6,107.4
10,18.8,25.2,32.0,15.2,8.5,82.4,99.7
11,25.3,27.2,33.2,15.3,8.8,86.1,109.9
12,15.5,26.4,30.2,14.9,7.7,83.3,94.8
13,20.7,27.4,37.9,10.1,8.7,72.6,104.8
14,18.8,25.4,31.4,16.4,8.8,83.6,100.7
15,17.9,25.8,37.8,12.5,9.2,79.2,103.3
16,19.3,26.9,33.1,13.5,9.9,82.0,102.6
