week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,15.6,22.2,35.7,12.0,8.3,91.7,93.7
2,17.7,23.5,30.2,15.8,8.7,90.6,95.9
3,16.8,25.6,36.1,7.6,8.6,88.6,94.7
4,14.2,21.7,27.2,10.2,7.3,100.5,80.6
5,16.6,22.7,31.9,11.7,8.3,90.1,91.2
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,16.1,21.4,30.3,14.5,7.6,94.8,90.1
8,16.4,28.9,36.2,12.6,8.7,87.5,102.8
9,22.3,23.8,31.8,14.8,7.9,98.9,100.6
10,16.3,23.1,36.1,12.1,8.7,88.8,96.3
11,18.0,28.4,30.2,13.4,9.2,92.3,99.1
12,13.9,25.7,27.2,13.6,8.1,97.6,88.5
13,14.7,21.4,29.9,11.9,7.2,94.5,85.0
14,19.9,24.5,35.2,11.5,7.8,87.2,98.9
15,15.8,27.8,35.9,12.5,8.3,90.3,100.3
16,19.2,19.9,35.5,10.7,7.7,99.6,93.0
