week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,14.5,21.7,37.3,10.6,9.4,88.5,93.4
2,12.6,21.8,31.1,12.1,8.1,92.3,85.7
3,17.7,19.0,38.8,10.0,8.8,98.2,94.2
4,22.2,23.5,31.7,14.7,8.2,102.2,100.3
5,13.1,19.8,22.4,18.9,7.1,103.5,81.4
6,12.7,22.5,28.0,14.0,7.2,98.8,84.3
7,16.8,22.3,29.7,15.6,8.5,96.7,92.9
8,14.1,21.5,27.2,10.0,7.6,103.5,80.3
9,14.8,21.1,35.1,11.9,8.1,97.6,90.9
10,15.3,27.1,35.6,12.4,8.3,95.0,98.7
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,17.2,23.9,31.3,12.8,9.7,95.1,94.9
13,21.2,22.7,31.4,14.7,7.8,104.8,97.8
14,15.5,19.2,33.3,11.2,7.9,98.9,87.2
15,17.3,22.1,33.9,13.8,8.8,93.5,95.9
16,13.5,23.4,28.4,14.1,7.6,96.2,87.1
