week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,0.0,0.0,19.6,12.1,0.0,12.4,31.7
2,0.0,22.7,19.9,0.0,0.0,11.4,42.6
3,0.0,18.0,20.6,0.0,17.0,15.7,55.6
4,24.9,22.5,0.0,0.0,0.0,9.0,47.4
5,15.6,0.0,8.2,0.0,0.0,12.9,23.8
6,27.2,6.4,5.8,5.7,0.0,15.8,45.1
7,4.7,20.8,13.3,0.0,0.0,26.8,38.8
8,4.1,0.0,6.5,0.0,0.0,14.0,10.6
9,26.8,17.4,45.8,0.0,0.0,8.7,90.0
10,0.0,15.3,11.0,0.0,0.0,21.4,26.3
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,14.7,0.0,4.5,0.0,16.0,19.2
13,0.0,19.4,7.0,0.0,0.0,14.7,26.4
14,11.1,16.1,3.5,0.0,0.0,6.0,30.7
15,0.0,12.4,4.5,0.0,0.0,20.5,16.9
16,0.0,8.3,0.0,0.0,0.0,36.8,8.3
