week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,0.0,0.0,27.3,0.0,0.0,17.0,27.3
2,22.1,25.0,38.0,16.8,23.0,37.8,124.9
3,0.0,0.0,0.0,6.6,0.0,9.5,6.6
4,12.5,27.5,10.8,0.0,5.0,24.2,55.8
5,0.0,0.0,12.9,0.0,0.0,23.8,12.9
6,20.6,8.7,22.9,26.0,0.0,44.6,78.2
7,40.0,7.2,16.7,0.0,0.0,54.5,63.9
8,25.4,33.4,14.4,17.8,0.0,34.5,91.0
9,0.0,34.3,14.1,6.9,0.0,47.5,55.3
10,25.1,14.8,32.1,0.0,0.0,46.6,72.0
11,0.0,4.0,0.0,0.0,0.0,25.5,4.0
12,17.2,62.1,42.8,0.0,12.0,46.6,134.0
13,20.5,22.6,5.6,11.3,0.0,28.3,60.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,23.2,0.0,0.0,63.2,23.2
16,0.0,11.3,14.5,0.0,0.0,15.0,25.8
