week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,14.1,22.1,34.2,9.1,7.5,90.0,87.1
2,15.5,22.2,35.7,12.0,8.3,88.9,93.7
3,16.4,28.9,36.2,12.5,8.7,84.7,102.7
4,17.7,23.6,30.1,15.8,8.7,87.8,95.9
5,12.9,18.5,27.5,12.2,7.0,86.2,78.0
6,19.8,24.6,35.1,11.5,7.8,84.3,98.8
7,14.2,21.7,27.3,10.1,7.3,97.5,80.6
8,14.0,21.0,22.9,19.3,7.2,94.8,84.4
9,18.1,23.3,34.4,13.9,9.0,84.5,98.8
10,22.2,23.8,31.8,14.8,7.9,96.0,100.5
11,18.1,25.1,31.8,12.9,9.9,86.1,97.9
12,15.0,22.6,27.7,10.2,7.7,94.8,83.3
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,17.7,23.9,35.5,9.5,7.8,82.0,94.4
15,14.9,23.3,25.8,17.5,7.5,93.5,89.0
16,19.0,23.7,34.7,11.4,7.4,87.1,96.2
