week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,7.8,20.4,24.0,7.3,11.0,60.5,70.5
2,0.0,0.0,0.0,10.1,0.0,45.9,10.1
3,13.8,19.2,37.4,0.0,0.0,91.7,70.4
4,18.9,25.5,20.1,0.0,0.0,64.1,64.5
5,17.9,6.0,17.9,0.0,0.0,76.9,41.8
6,23.6,0.6,20.4,0.0,0.0,78.2,44.6
7,0.0,0.0,12.9,0.0,0.0,95.4,12.9
8,19.4,7.3,7.8,0.0,0.0,91.0,34.5
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,19.7,0.0,0.0,0.0,53.6,19.7
11,12.1,24.3,25.9,0.0,5.0,42.6,67.3
12,27.1,12.1,41.1,11.1,6.0,87.2,97.4
13,9.5,20.8,7.5,0.0,0.0,71.6,37.8
14,12.2,14.7,7.4,0.0,20.0,58.1,54.3
15,0.0,8.2,0.0,0.0,0.0,84.2,8.2
16,0.0,0.0,14.8,0.0,0.0,87.5,14.8
