week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,11.2,24.3,26.8,13.3,7.8,96.5,83.3
2,18.0,22.7,33.3,10.9,7.4,85.7,92.3
3,16.5,21.1,37.0,11.9,7.8,95.8,94.4
4,11.9,17.5,26.1,11.5,7.0,84.9,74.2
5,14.3,19.6,28.6,13.8,7.3,93.6,83.6
6,15.0,23.6,33.9,7.2,8.3,87.1,88.0
7,14.2,20.5,29.8,11.0,7.7,90.1,83.1
8,11.1,16.7,25.6,11.4,6.6,87.7,71.4
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,17.4,21.9,37.6,12.1,8.3,93.0,97.2
11,17.9,20.3,30.3,11.9,7.8,82.5,88.1
12,15.7,22.0,33.4,9.0,7.4,83.3,87.5
13,12.8,17.2,33.3,10.6,8.7,83.0,82.6
14,16.7,18.4,37.2,9.6,8.6,90.8,90.5
15,17.5,22.2,29.9,11.6,8.0,87.1,89.2
16,12.7,19.6,27.9,11.1,6.8,93.2,78.1
