week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,16.9,35.1,28.5,24.4,0.0,67.9,104.9
2,10.9,20.4,28.3,8.1,12.0,105.4,79.7
3,11.7,23.8,17.6,16.7,0.0,108.6,69.9
4,0.0,22.0,28.5,16.9,20.0,105.4,87.4
5,45.8,2.9,58.9,12.1,12.0,149.7,131.7
6,19.2,12.4,50.9,4.5,8.3,104.3,95.3
7,13.7,20.6,28.7,23.5,8.0,91.6,94.4
8,0.0,0.0,0.0,0.0,0.0,26.2,0.0
9,15.2,11.8,36.8,16.1,0.0,137.2,79.9
10,19.4,22.4,27.9,31.6,2.0,80.1,103.3
11,13.2,18.1,27.0,18.3,3.0,93.3,79.5
12,23.9,14.9,68.4,13.9,6.0,116.1,127.2
13,9.2,13.4,13.3,13.3,7.0,61.3,56.2
14,9.1,9.4,22.7,16.1,4.0,116.6,61.3
15,6.8,22.8,13.8,7.4,16.0,86.9,66.8
16,30.9,24.7,64.1,21.8,13.0,104.2,154.5
