week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,0.0,5.4,19.4,0.0,8.0,56.1,32.8
2,0.0,0.0,11.4,0.0,0.0,42.6,11.4
3,0.0,0.0,8.9,15.3,0.0,24.0,24.2
4,0.0,19.5,17.6,0.0,0.0,50.2,37.1
5,25.6,31.1,38.3,0.0,0.0,27.9,95.0
6,19.6,0.0,4.4,0.0,0.0,25.8,24.0
7,0.0,21.2,8.2,13.2,0.0,59.2,42.6
8,0.0,15.1,0.0,0.0,0.0,32.6,15.1
9,27.2,6.7,13.6,0.0,0.0,55.3,47.5
10,26.9,22.4,37.1,0.0,0.0,58.1,86.4
11,0.0,0.0,33.5,27.5,0.0,88.5,61.0
12,0.0,11.4,11.5,0.0,0.0,63.4,22.9
13,0.0,0.0,0.0,11.3,0.0,59.1,11.3
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,18.2,0.0,0.0,0.0,83.4,18.2
16,0.0,16.9,7.2,6.0,0.0,106.1,30.1
