week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,0.0,24.4,13.5,12.9,0.0,70.8,50.8
2,0.0,6.1,14.2,0.0,0.0,61.5,20.3
3,0.0,9.2,0.0,0.0,0.0,59.4,9.2
4,19.4,17.4,7.6,19.7,0.0,64.5,64.1
5,0.0,9.6,27.2,0.0,4.0,58.0,40.8
6,0.0,24.1,1.7,0.0,0.0,24.0,25.8
7,10.3,42.7,33.8,0.0,7.0,34.9,93.8
8,0.0,0.0,14.0,0.0,0.0,10.6,14.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,18.1,28.0,15.6,1.9,0.0,46.4,63.6
11,42.7,20.4,0.0,0.0,0.0,25.8,63.1
12,22.9,5.8,39.9,0.0,0.0,9.7,68.6
13,0.0,0.0,19.5,22.2,0.0,38.8,41.7
14,0.0,0.0,6.0,0.0,0.0,30.7,6.0
15,0.0,29.5,0.0,45.6,0.0,56.9,75.1
16,0.0,8.3,19.3,0.0,0.0,38.9,27.6
