week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,14.3,24.8,29.1,14.4,7.5,87.1,90.0
2,19.6,22.2,32.1,12.6,7.9,81.1,94.5
3,19.7,22.6,30.1,13.3,8.5,86.1,94.2
4,20.7,26.1,32.3,12.6,9.0,79.9,100.7
5,15.2,20.1,36.2,11.5,9.2,78.9,92.3
6,17.5,23.6,31.1,14.8,8.2,86.2,95.2
7,13.5,19.5,28.1,12.4,7.2,83.3,80.8
8,20.0,24.7,40.5,13.0,8.8,88.3,107.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,18.4,20.2,39.6,10.2,8.7,88.9,97.2
11,18.7,23.6,41.7,12.2,10.6,85.2,106.8
12,19.3,21.0,40.1,10.3,9.2,86.2,99.9
13,19.9,21.0,36.1,10.8,7.9,93.6,95.6
14,16.9,30.1,36.7,12.7,8.9,81.7,105.3
15,16.7,22.6,30.8,14.7,7.8,88.9,92.7
16,15.5,22.9,23.8,19.8,7.8,89.1,89.8
