week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,11.1,9.3,33.3,4.2,16.0,98.5,73.9
2,20.9,21.7,35.4,30.2,10.0,84.7,118.1
3,26.1,9.8,55.5,14.2,4.0,93.1,109.6
4,18.7,39.2,32.3,18.5,0.0,73.3,108.8
5,17.5,18.4,35.2,8.6,6.0,91.4,85.7
6,19.9,31.5,27.5,4.1,0.0,92.0,82.9
7,23.3,24.5,39.7,25.3,18.0,88.0,130.7
8,23.0,23.8,49.3,26.2,4.0,62.8,126.3
9,27.2,14.6,69.4,22.4,9.0,74.1,142.6
10,24.8,48.7,52.7,12.9,13.0,78.4,152.1
11,6.8,33.6,26.0,6.2,11.0,69.7,83.6
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,16.4,32.4,32.2,21.6,9.0,118.7,111.6
14,20.4,21.8,23.5,27.5,8.0,47.8,101.2
