id,name,team,position,bye_week,fantasy_points,injury_status,drafted,locked,average_draft_position,player_rating,week_1_points,week_2_points,week_3_points,week_4_points,week_5_points,week_6_points,week_7_points,week_8_points,week_9_points,week_10_points,week_11_points,week_12_points,week_13_points,week_14_points,week_15_points,week_16_points,week_17_points
3925357,Calvin Ridley,TEN,WR,10,138.11912891999998,QUESTIONABLE,0,0,99.23571428571428,77.5,6.7,13.52789601,12.97807597,11.21237413,10.61256398,10.90516026,11.07803704,11.26277183,10.23271371,0.0,9.82760647,10.31007465,10.4476928,10.07205667,10.61957493,10.45893132,11.07957113
4685415,Travis Hunter,JAX,WR,8,115.78670669,ACTIVE,0,0,97.44534259551627,73.75,12.89438844,13.62236219,3.1,7.2,8.89323552,8.78018379,9.24122319,0.0,9.25059524,8.37566954,8.71683381,9.01258114,9.24668861,9.5441193,9.05607379,8.90560457,9.56389819
3150744,Chase McLaughlin,TB,K,9,117.23081086,ACTIVE,0,0,108.86865993778963,36.8,5.0,1.0,8.57118224,17.0,7.92221566,8.26088967,8.20814069,8.63286468,0.0,8.40160871,8.27762141,7.99537143,8.33086966,8.75892466,8.32932548,8.3435741,8.76940471
-16002,Bills D/ST,BUF,DST,7,79.38045491,ACTIVE,0,0,147.97261146496814,37.4,-2.0,7.31956473,5.63368628,7.1615672,5.872628,5.25900863,0.0,6.18480833,4.95125135,5.15792584,5.49978828,5.78490214,6.14823215,7.64602879,6.11939645,7.95577837,5.63913938
-16008,Lions D/ST,DET,DST,8,85.04034244000002,ACTIVE,0,0,130.35331210191083,38.599999999999994,5.92186452,8.0,2.64696583,20.0,7.03281566,4.66391294,5.03142755,0.0,6.63917905,4.1481708,5.14387803,7.17244113,4.05243148,4.34809831,3.98739332,6.16983605,6.65075812
2976212,Stefon Diggs,NE,WR,14,167.77829370000003,ACTIVE,0,0,117.68065739570164,70.0,12.14842181,10.06259509,10.44953778,16.1,12.89921107,12.93735335,12.71715561,11.81520731,11.99378736,12.76514612,12.49013046,12.85035233,12.1280908,0.0,12.85497606,13.70150151,12.52538172
3055899,Harrison Butker,KC,K,10,104.02148831999999,ACTIVE,0,0,145.8280327556656,35.0,11.0,6.0,8.24197039,7.9115725,7.6809799,8.01789716,8.22111818,8.43398424,7.96251225,0.0,7.61353448,8.15366006,8.44896964,7.73358753,7.73508246,8.37165986,7.73693006
4360516,Tyrone Tracy Jr.,NYG,RB,14,71.81751726,OUT,0,0,126.95815688009607,69.75,13.34324133,9.1,10.07571785,0.0,0.0,6.16118681,6.11805921,5.99796489,6.48194825,7.28561934,6.56934647,6.27487839,6.4971809,0.0,7.1002556,6.51301317,6.81806423
-16033,Ravens D/ST,BAL,DST,7,62.82058885,ACTIVE,0,0,120.16496815286624,39.4,-7.0,7.80670299,3.31887815,4.07226228,4.45366282,3.12572294,0.0,3.68633173,4.18977754,5.2777818,6.55094125,6.15600463,6.61658101,4.621349,6.33156353,4.70508389,3.03352643
-16024,Chargers D/ST,LAC,DST,12,81.87413498,ACTIVE,0,0,165.5135668789809,23.73,2.0,5.79159175,6.11743765,7.54556758,5.21818006,5.60967634,6.00180853,6.99043505,6.86210037,6.40908262,6.04405264,0.0,7.69033325,5.66764464,5.39297051,5.50622971,6.93605368
4032473,Rashid Shaheed,NO,WR,11,132.35376614999998,ACTIVE,0,0,149.35676359039192,58.5,9.3,15.2,10.12376627,9.6475779,9.80288842,10.44385709,10.64360662,10.20657182,10.19470737,10.07759037,0.0,9.6705561,10.94355915,10.19585464,10.0864576,10.11044851,10.33009056
4241372,Hollywood Brown,KC,WR,10,88.18926739,ACTIVE,0,0,161.62275600505689,50.4,19.9,8.0,12.00656221,9.0405724,7.71987028,8.33966678,6.32677568,6.94916949,6.2667413,0.0,6.03710733,6.51885004,6.99342565,5.6865229,5.91249118,6.35687462,6.04119974
11122,Matt Prater,BUF,K,7,17.61347915,ACTIVE,0,0,166.8906874880975,15.0,12.0,8.71737768,9.10403585,8.90088658,8.71259257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3051876,Evan Engram,DEN,TE,12,79.09932558000001,ACTIVE,0,0,124.84164612175232,68.0,5.1,8.87001088,0.0,6.24263031,5.98432285,5.99672797,5.79464034,6.7148278,5.56782968,6.09240632,5.90372482,0.0,6.72802783,6.11898042,6.13146096,5.90051738,5.9232289
-16017,Patriots D/ST,NE,DST,14,75.07802479,ACTIVE,0,0,155.68585987261147,38.0,6.52547773,4.09483323,5.64057312,10.0,2.73019854,6.16340125,6.58018599,6.61586295,4.53447903,4.16540277,7.01021645,6.68929984,7.25754819,0.0,2.90184255,3.19308405,7.23650318
3045147,James Conner,ARI,RB,8,0.0,INJURY_RESERVE,0,0,76.27509481668774,81.6,14.4,16.37557686,13.43402705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4432577,C.J. Stroud,HOU,QB,6,208.75159147000002,ACTIVE,0,0,153.63558196876778,54.0,16.47056734,14.98,15.76340379,17.36857355,18.12780522,0.0,14.26273459,15.64603869,15.15215171,15.18455099,17.51555219,16.6495731,16.7982351,14.99130844,15.99888693,16.73978585,14.31639511
4362249,Jayden Reed,GB,WR,5,82.61769242,INJURY_RESERVE,0,0,146.98571518867328,59.75,11.21385495,11.2895857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.03380763,9.86030896,9.9596762,10.66280548,10.60648713,9.94949232,10.62769192,10.91742278
4686361,Cam Little,JAX,K,8,102.21969639000001,ACTIVE,0,0,161.6462485717913,23.9,8.30643177,7.98839799,8.06173831,8.0,7.74379382,7.67729681,7.68444375,0.0,8.04044977,7.54703353,7.66961422,7.83195466,8.31284733,8.09538234,8.09587716,7.55062327,7.97037973
4688813,Josh Downs,IND,WR,11,97.43655746,ACTIVE,0,0,144.9381202199608,60.0,3.2,8.13407172,8.68493289,8.56161862,7.7113881,7.59853791,7.53460688,7.59032871,7.97794511,7.3340606,0.0,7.66017078,7.14686701,7.6483218,7.578883,7.66836221,7.58708535
4431280,Troy Franklin,DEN,WR,12,130.31271051,ACTIVE,0,0,169.32753934643827,24.7,8.4,7.11423265,10.83946703,10.36019498,9.74416172,9.9123451,9.62060076,11.10998222,9.13929645,10.08569963,9.70210803,0.0,11.05830397,10.09197551,10.103125,9.6879344,9.69698274
4723086,Colston Loveland,CHI,TE,5,58.09366374000001,OUT,0,0,157.71226295828066,53.4,3.2,7.17962973,4.38305983,0.0,0.0,5.28738451,4.89347778,5.15843823,4.87355597,4.60137036,4.71236548,4.89269801,4.72046093,4.85954959,4.50054849,4.84829958,4.74551481
4819231,Kaleb Johnson,PIT,RB,5,6.55715913,ACTIVE,0,0,137.0872890462044,65.25,5.05755018,0.1,0.78020221,2.2,0.0,0.34211681,0.39235578,0.34949867,0.36025659,0.30436748,0.40931164,0.39502799,0.36102103,0.37218125,0.43116081,0.31357758,0.3262835
12483,Matthew Stafford,LAR,QB,8,213.39067829999996,ACTIVE,0,0,158.1971421345473,47.4,14.92738863,16.97393391,13.84,16.00005845,16.1727099,18.42689732,15.6735076,0.0,18.13728001,15.91659533,15.26858881,16.57564482,16.87561928,16.22592858,17.38637473,15.01257979,15.71889368
4433970,J.J. McCarthy,MIN,QB,6,172.49445247,OUT,0,0,157.9616867926914,54.4,16.25991091,2.82,0.0,0.0,0.0,0.0,13.91216575,13.26116432,15.48130392,17.55861539,16.67937933,15.04426662,13.23924841,18.30420849,18.34051382,14.80905049,15.86453593
3059915,Kareem Hunt,KC,RB,10,87.40313565000001,ACTIVE,0,0,168.04690265486727,24.8,4.6,4.4,9.68317254,8.31671992,6.01285054,6.26124816,7.15000404,7.11257475,6.41566103,0.0,5.92578798,6.75137163,7.23178926,6.31294588,6.07321609,7.66560017,6.1733662
4369863,Cedric Tillman,CLE,WR,9,75.81868938999999,OUT,0,0,166.48947601289424,50.6,10.70013933,10.34681999,9.66390643,1.6,0.0,0.0,7.77132003,7.48225066,0.0,7.17490222,7.81531434,7.32380582,7.11186075,7.2756668,7.59050575,7.2622979,7.41076512
4372019,Jerome Ford,CLE,RB,9,52.903130219999994,ACTIVE,0,0,157.68320586562163,55.5,13.86975889,5.95784764,6.62214767,1.3,4.17923997,4.2619151,4.56781385,4.24452119,0.0,4.19611829,4.46694533,4.25976531,4.11437516,4.37507564,4.47782006,4.20981738,4.24972294
4361432,Romeo Doubs,GB,WR,5,129.48705772,ACTIVE,0,0,164.939953226724,43.8,8.36201185,9.76388503,10.38748893,10.54054912,0.0,10.7563443,10.52510891,10.90767332,10.51037081,9.28040483,9.05093818,9.20100942,9.89024692,9.75530016,9.20840623,9.79058739,10.07011813
17427,Cairo Santos,CHI,K,5,107.16147573,ACTIVE,0,0,162.11369262997525,34.599999999999994,8.13094703,3.0,8.44159833,8.3851244,0.0,8.5189227,8.64263539,8.51750997,8.44100892,8.28601418,7.80580305,8.21666824,7.73764682,8.16136169,8.14165305,8.28705925,8.02006807
3068267,Austin Ekeler,WSH,RB,12,0.0,INJURY_RESERVE,0,0,134.67054361567637,66.25,11.89468891,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3917232,Tyler Bass,BUF,K,7,91.17069543999999,INJURY_RESERVE,0,0,151.49323938297468,35.599999999999994,0.0,0.0,0.0,0.0,0.0,8.2263624,0.0,8.35859585,8.14663967,8.75997246,8.3458341,7.95832595,8.22876849,8.67831441,8.29464646,8.15926565,8.01397
4371733,Kenneth Gainwell,PIT,RB,5,172.09379719999998,ACTIVE,0,0,166.90146008469756,24.58,6.47411447,6.6,10.65693325,31.4,0.0,10.92972821,12.13371114,11.51524608,11.8560236,10.62680693,12.3222373,12.41415757,11.67099963,12.22999498,12.92791293,11.31557714,10.75140169
15864,Geno Smith,LV,QB,8,187.55405853,ACTIVE,0,0,168.23356095093575,24.85,15.02547587,16.14886752,15.24937181,17.51449742,15.22110658,16.41651432,13.39572221,0.0,13.64786158,13.24697355,17.87050048,13.71773951,12.73485055,13.60636746,13.04510763,12.58403375,14.55278349
4429013,Tank Bigsby,PHI,RB,9,0.37872170000000005,ACTIVE,0,0,151.17173377156942,56.75,8.58458392,2.08779597,1.73458886,0.02925787,0.03038403,0.02839651,0.02911066,0.02724437,0.0,0.03317509,0.03595429,0.03374906,0.03121064,0.03247123,0.02668215,0.0336672,0.03667647
3054212,Jonnu Smith,PIT,TE,5,94.51139119999999,ACTIVE,0,0,167.13224603325116,40.8,7.61939999,6.7,9.62203158,2.6,0.0,7.07016125,7.65227575,7.65189948,7.86681534,7.30164449,7.61010687,7.89336709,7.65348365,8.14105478,7.9730312,7.99164481,7.10590649
4429059,Woody Marks,HOU,RB,6,162.55943681,ACTIVE,0,0,167.50970229441882,42.8,5.31728569,6.1,4.6,27.9,11.86336494,0.0,10.27582957,11.08476195,10.75381706,10.81201572,12.50469292,11.42469555,11.30072563,11.02914572,11.39814689,11.90461979,10.30762107
2971573,Ka'imi Fairbairn,HOU,K,6,98.18169544999999,ACTIVE,0,0,166.03320002539198,33.599999999999994,7.89459249,9.0,7.74137182,7.97137974,7.85460048,0.0,7.19809374,7.5112357,7.31430448,7.37784898,7.91281794,7.64403743,7.59147369,7.26310529,7.57564299,7.77118131,7.19597368
5083076,Harold Fannin Jr.,CLE,TE,9,97.62198064,ACTIVE,0,0,169.174399494311,23.35,3.41087269,7.96811622,8.15716134,4.5,7.91886376,8.22760464,8.01701605,7.74838948,0.0,7.45484898,8.07431696,7.59251858,7.40618465,7.53509169,7.89422374,7.57165186,7.68127025
