id,name,team,position,bye_week,fantasy_points,injury_status,drafted,locked,average_draft_position,player_rating,week_1_points,week_2_points,week_3_points,week_4_points,week_5_points,week_6_points,week_7_points,week_8_points,week_9_points,week_10_points,week_11_points,week_12_points,week_13_points,week_14_points,week_15_points,week_16_points,week_17_points
4429795,Jahmyr Gibbs,DET,RB,8,67.74676746,ACTIVE,1,0,170.0,96.52631578947368,15.0,19.4,26.9,17.7,16.7,7.5,36.8,0.0,5.8,38.2,19.6,55.4,11.6,37.0,9.8,23.66533957,22.37386987
4362628,Ja'Marr Chase,CIN,WR,10,59.306001519999995,ACTIVE,1,0,170.0,96.24842105263157,4.6,36.5,8.9,7.3,29.0,25.1,38.1,21.1,17.1,0.0,6.0,0.0,18.0,10.2,23.2,18.88412519,20.05725103
4374302,Amon-Ra St. Brown,DET,WR,8,62.38246468999999,ACTIVE,1,0,170.0,97.29052631578948,8.5,39.2,20.7,26.0,18.0,13.7,20.6,0.0,18.7,16.8,6.2,29.9,20.71355261,15.2,41.4,20.67598923,20.79137888
3117251,Christian McCaffrey,SF,RB,14,73.58028763,ACTIVE,1,0,170.0,100.0,23.2,22.7,24.0,26.1,27.9,24.1,39.1,9.8,34.3,17.6,35.1,27.2,17.4,0.0,15.7,21.96550779,24.91704401
4426515,Puka Nacua,LAR,WR,8,64.08280626,ACTIVE,1,0,170.0,100.0,23.1,27.6,22.8,36.0,24.5,4.8,0.0,0.0,22.8,17.4,14.3,16.7,13.2,35.7,27.9,19.96907044,21.86777617
4430807,Bijan Robinson,ATL,RB,5,65.21538525,ACTIVE,1,0,170.0,93.54887218045113,24.4,19.8,16.1,28.1,0.0,35.8,21.2,5.8,17.6,10.8,30.3,14.7,30.3,9.4,29.5,23.49400653,20.25625345
3929630,Saquon Barkley,PHI,RB,9,53.11364184,ACTIVE,1,0,170.0,87.34586466165413,18.4,17.4,9.5,17.4,17.8,8.7,5.2,33.4,0.0,13.1,10.0,12.4,5.6,18.2,17.2,19.02057549,17.67497496
3918298,Josh Allen,BUF,QB,7,59.608761650000005,ACTIVE,1,0,170.0,100.0,38.76,11.82,23.02,24.86,19.42,15.4,0.0,23.22,28.82,19.34,42.68,8.12,16.72,37.84,24.52,19.96871614,19.85902811
4241389,CeeDee Lamb,DAL,WR,10,53.65067884,ACTIVE,1,0,170.0,91.24631578947368,18.0,20.2,20.00302814,0.0,0.0,0.0,22.0,14.6,15.5,0.0,17.6,11.5,24.2,18.1,17.1,16.89526754,19.55786934
4242335,Jonathan Taylor,IND,RB,11,61.84994953,ACTIVE,1,0,170.0,89.33082706766916,12.8,29.5,32.8,14.6,31.6,23.7,34.2,37.4,7.7,49.6,0.0,8.6,15.1,11.4,13.1,23.99146547,20.25333884
4361307,Trey McBride,ARI,TE,8,48.74079337,ACTIVE,1,0,170.0,98.48469387755102,12.1,13.8,15.3,12.2,9.1,21.2,29.4,0.0,16.5,27.7,27.5,16.9,22.2,10.8,37.4,16.68321529,18.01366946
4429160,De'Von Achane,MIA,RB,12,77.39831887000001,ACTIVE,1,0,170.0,97.5187969924812,16.5,26.2,16.1,17.1,16.6,31.0,12.8,20.1,16.6,40.5,21.5,0.0,19.4,17.5,23.06856451,28.57510204,25.75465232
4047365,Josh Jacobs,GB,RB,5,51.861558360000004,ACTIVE,1,0,170.0,87.09774436090225,14.0,14.4,12.4,31.7,0.0,32.0,18.8,13.5,20.0,19.7,4.0,0.0,10.1,17.2,23.2,19.0340491,17.63781966
4430878,Jaxon Smith-Njigba,SEA,WR,8,62.78235793,ACTIVE,1,0,170.0,99.58315789473684,19.4,18.3,20.6,13.0,27.2,30.2,26.3,0.0,22.0,20.3,20.6,37.1,4.3,28.1,18.3,20.99678313,21.15665102
4379399,James Cook III,BUF,RB,7,51.599882789999995,ACTIVE,1,0,170.0,89.33082706766916,21.2,26.5,20.8,22.5,4.9,8.7,0.0,33.6,13.5,10.7,20.4,21.9,18.7,11.1,31.1,18.05047385,17.1989731
4040715,Jalen Hurts,PHI,QB,9,63.71248357,ACTIVE,1,0,170.0,94.84375,24.28,11.54,29.04,19.4,19.5,20.62,24.04,25.36,0.0,12.02,14.5,30.86,16.3,0.4,22.9,22.83376708,20.71360289
3043078,Derrick Henry,BAL,RB,7,45.62132583,ACTIVE,1,0,170.0,93.54887218045113,29.2,2.3,10.7,7.8,9.3,14.0,0.0,19.1,13.1,11.4,20.2,22.8,17.4,11.2,10.0,14.40913385,13.59697412
4262921,Justin Jefferson,MIN,WR,6,46.754956469999996,ACTIVE,1,0,170.0,76.03157894736843,14.8,11.1,12.5,22.6,19.3,0.0,12.9,14.4,16.7,7.7,11.1,8.8,2.4,3.1,4.2,14.7963878,16.28582365
4258173,Nico Collins,HOU,WR,6,47.202366229999996,ACTIVE,1,0,170.0,88.32842105263158,5.5,14.2,22.4,11.9,16.0,0.0,6.7,0.0,14.5,22.6,24.2,8.5,21.5,16.1,23.5,15.98593182,14.896373
16800,Davante Adams,LAR,WR,8,47.08061108,QUESTIONABLE,1,0,170.0,90.62105263157895,9.1,22.6,14.6,15.6,13.8,7.9,26.5,0.0,23.0,19.7,7.1,23.2,21.8,6.9,11.1,14.56372238,16.10107692
4432665,Brock Bowers,LV,TE,8,42.47744396,ACTIVE,1,0,170.0,93.93877551020408,15.3,8.8,9.8,9.6,0.0,0.0,0.0,0.0,43.3,3.7,14.2,11.5,22.3,14.6,8.8,13.59486702,15.85948681
4047646,A.J. Brown,PHI,WR,9,50.861458549999995,ACTIVE,1,0,170.0,88.74526315789473,1.8,7.7,22.9,2.7,9.3,14.0,28.1,0.0,0.0,3.3,11.9,25.0,35.2,16.0,12.1,17.55683615,16.4732324
3040151,George Kittle,SF,TE,14,45.47032427,ACTIVE,1,0,170.0,100.0,12.5,0.0,0.0,0.0,0.0,0.0,13.0045705,14.3,6.9,23.4,24.7,13.8,10.7,0.0,22.8,15.09564474,15.60750587
4890973,Ashton Jeanty,LV,RB,8,49.93570071,ACTIVE,2,0,170.0,77.42105263157895,12.0,7.4,6.3,33.5,15.9,16.6,4.4,0.0,19.9,15.3,9.4,24.8,12.1,5.8,8.2,14.96826015,20.47395151
4430737,Kyren Williams,LAR,RB,8,38.40282339,ACTIVE,1,0,170.0,72.45864661654134,13.9,10.0,19.2,10.4,31.1,16.7,8.5,0.0,17.4,22.4,16.6,5.8,13.2,17.7,21.8,11.07210029,13.57065947
4426354,George Pickens,DAL,WR,10,47.93923013,ACTIVE,1,0,170.0,87.49473684210527,6.0,17.8,17.8,33.4,13.7,31.8,12.2,14.8,13.9,0.0,29.4,29.6,16.8,8.7,6.3,14.66324207,16.93279923
4428331,Rashee Rice,KC,WR,10,50.8642253,ACTIVE,2,0,170.0,93.53894736842106,0.0,0.0,0.0,0.0,0.0,0.0,23.2,25.5,18.6,0.0,9.8,24.1,29.4,7.4,12.1,17.83324741,15.86337132
3139477,Patrick Mahomes,KC,QB,10,34.443064570000004,OUT,0,0,170.0,64.9375,26.02,22.08,13.16,27.3,26.72,31.48,26.24,22.96,10.5,0.0,13.34,17.08,29.44,6.3,13.06,0.0,17.0349019
3916387,Lamar Jackson,BAL,QB,7,51.922604099999994,ACTIVE,1,0,170.0,82.46875,29.36,26.3,27.02,10.68,0.0,0.0,0.0,0.0,25.56,16.64,4.72,7.22,6.54,21.06,14.6,16.07394702,16.42661347
3953687,Brandon Aubrey,DAL,K,10,26.43798108,ACTIVE,1,0,170.0,100.0,11.0,23.0,8.0,8.0,7.0,9.0,18.0,6.0,4.0,0.0,9.0,6.0,12.0,24.0,14.6,8.61892688,9.14321766
4426502,Drake London,ATL,WR,5,35.26520386,OUT,1,0,170.0,92.08,13.5,5.9,10.5,25.0,0.0,31.8,8.2,0.0,38.8,24.4,18.9,0.0,0.0,0.0,0.0,17.97954214,17.28566172
4596448,Bucky Irving,TB,RB,9,45.02361996,ACTIVE,2,0,170.0,88.58646616541354,14.5,18.1,13.9,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,16.1,8.1,15.19162218,14.65766199
4361579,Javonte Williams,DAL,RB,10,47.50993197,ACTIVE,2,0,170.0,75.4360902255639,20.4,25.0,12.2,19.0,26.9,8.4,18.8,17.9,7.3,0.0,10.3,12.1,17.0,14.7,15.1,15.09135935,18.06347524
4431459,Tyler Warren,IND,TE,11,33.881311000000004,ACTIVE,1,0,170.0,77.77551020408163,14.9,11.9,6.8,18.3,14.4,18.3,16.9,9.3,7.6,17.9,0.0,9.5,11.2,3.7,4.9,12.12988468,11.20896607
4362238,Chase Brown,CIN,RB,10,45.7888863,ACTIVE,1,0,170.0,84.61654135338345,13.1,8.5,6.0,10.1,11.8,8.9,12.0,25.5,19.2,0.0,18.7,15.0,18.3,18.5,16.0,14.32711496,16.12856943
4567750,Emeka Egbuka,TB,WR,9,33.50697967,ACTIVE,1,0,170.0,81.03368421052632,23.6,12.9,14.5,20.1,31.3,4.4,9.8,6.5,0.0,23.5,9.0,6.2,8.2,3.5,10.4,10.98279061,10.53831993
4431452,Drake Maye,NE,QB,14,62.33685989,ACTIVE,1,0,170.0,96.390625,15.78,26.3,19.22,23.22,12.12,27.24,23.08,26.28,16.36,18.1,15.44,15.96,20.48,0.0,20.5,19.43581333,21.54884886
4612826,Ladd McConkey,LAC,WR,12,37.47978384,ACTIVE,1,0,170.0,69.57052631578946,13.4,9.8,8.1,2.1,14.9,23.0,15.7,20.8,9.6,20.7,4.3,0.0,13.9,2.2,4.0,13.21589055,10.63517747
15847,Travis Kelce,KC,TE,10,30.649218180000002,ACTIVE,1,0,170.0,70.70408163265306,12.7,10.1,6.6,9.8,19.1,13.8,8.4,21.9,12.6,0.0,24.1,8.4,15.5,1.8,14.0,10.96892161,9.7381597
4427366,Breece Hall,NYJ,RB,9,41.02800337,ACTIVE,1,0,170.0,66.50375939849624,16.5,5.8,9.2,16.1,17.5,5.9,7.2,32.86,0.0,19.5,8.4,13.9,15.6,4.3,5.7,13.83290502,14.12881187
4047650,DK Metcalf,PIT,WR,5,41.48534487,ACTIVE,1,0,170.0,71.44631578947369,12.3,11.0,12.2,23.6,0.0,19.5,8.0,16.5,2.6,6.5,9.9,14.4,6.2,21.8,13.85158362,14.85558337,12.77817788
4239993,Tee Higgins,CIN,WR,10,28.72063897,OUT,1,0,170.0,81.03368421052632,6.3,14.6,2.5,6.2,11.2,11.2,21.6,11.4,33.1,0.0,15.3,8.1,0.0,27.2,0.0,13.90278414,14.81785483
4242355,Jake Ferguson,DAL,TE,10,29.97347835,ACTIVE,1,0,170.0,67.16836734693878,7.3,16.8,21.2,17.0,23.9,12.3,21.9,13.14822681,8.0,0.0,11.6,11.1,8.6,10.8,3.6,9.25616097,10.7581641
4429615,Zay Flowers,BAL,WR,7,41.13219289,ACTIVE,1,0,170.0,64.98526315789474,28.1,14.9,3.3,14.4,12.2,8.6,0.0,14.1,11.4,12.1,11.3,11.9,0.6,20.6,15.8,13.82954672,14.46145058
4372016,Jaylen Waddle,MIA,WR,12,44.68792199,ACTIVE,2,0,170.0,81.2421052631579,7.0,17.8,14.9,7.8,23.0,15.82,2.5,20.9,14.2,19.4,8.2,0.0,7.0,18.1,13.90500541,15.71700328,15.0659133
4038815,Rico Dowdle,CAR,RB,14,40.47208936,ACTIVE,1,0,170.0,64.02255639097744,3.6,2.9,10.8,4.0,32.4,33.9,10.6,5.4,28.1,15.3,15.0,11.4,9.9,0.0,12.4,15.40227828,12.10389077
4241478,DeVonta Smith,PHI,WR,9,38.63042274,ACTIVE,1,0,170.0,69.15368421052631,4.6,9.3,20.0,4.9,19.4,8.9,33.3,14.4,0.0,16.9,1.8,14.9,9.8,7.7,7.0,13.2863263,12.46030003
-16026,Seahawks D/ST,SEA,DST,8,19.3856051,ACTIVE,1,0,170.0,96.72185430463577,7.0,16.0,17.0,12.0,-5.0,12.0,10.0,0.0,11.0,21.0,4.0,6.0,28.0,20.0,6.0,4.52937812,7.20530207
4361370,Chris Olave,NO,WR,11,41.5890592,ACTIVE,1,0,170.0,75.40631578947368,12.4,11.4,15.7,9.0,12.9,15.8,26.8,14.0,8.7,21.4,0.0,16.0,14.7,6.0,20.5,13.41920157,14.58350425
4432710,TreVeyon Henderson,NE,RB,14,43.118547819999996,ACTIVE,1,0,170.0,57.07518796992481,11.1,6.0,7.7,12.6,4.7,4.6,0.5,5.5,12.7,28.0,32.3,11.1,11.6,0.0,30.1,14.12143375,16.48225264
4259545,D'Andre Swift,CHI,RB,5,37.42387324,ACTIVE,1,0,170.0,46.90225563909774,9.5,13.9,10.8,16.0,0.0,25.5,20.8,15.1,0.0,14.8,9.0,1.9,20.8,11.2,22.6,12.32915728,12.92887246
4426388,Jameson Williams,DET,WR,8,44.797453270000005,ACTIVE,2,0,170.0,77.90736842105264,6.6,18.8,6.3,5.7,2.0,18.6,13.19697312,0.0,16.6,23.9,19.7,12.87686575,26.9,17.3,26.4,15.43967556,15.47166383
4685702,Quinshon Judkins,CLE,RB,9,45.244393790000004,ACTIVE,1,0,170.0,76.18045112781955,0.0,10.1,16.5,21.5,13.8,3.6,26.4,4.7,0.0,10.5,5.9,16.7,15.9,9.4,4.7,14.99148798,13.61827874
4685472,Tetairoa McMillan,CAR,WR,14,37.5120515,ACTIVE,1,0,170.0,69.57052631578946,11.8,16.0,7.8,10.2,13.3,17.9,6.3,16.9,8.6,11.0,33.0,11.5,11.3,0.0,4.5,13.16243677,11.14239574
2577417,Dak Prescott,DAL,QB,10,56.34668287,ACTIVE,1,0,170.0,73.703125,7.82,22.14,12.04,30.96,28.28,22.34,23.26,6.62,15.4,0.0,24.32,27.06,20.6,18.44,11.96,16.93079038,21.24013954
4035687,Michael Pittman Jr.,IND,WR,11,36.197476269999996,ACTIVE,1,0,170.0,47.4778947368421,20.0,8.0,19.3,15.1,14.9,4.0,20.8,23.5,20.5,3.9,0.0,13.7,2.3,16.9,5.6,12.48986826,11.44742543
4569987,Jaylen Warren,PIT,RB,5,36.17285536,QUESTIONABLE,1,0,170.0,56.330827067669176,13.9,17.4,13.1,0.0,0.0,8.3,19.8,9.3,16.9,11.1,8.7,12.8,12.4,15.2,12.44344675,11.95422657,11.77518204
-16034,Texans D/ST,HOU,DST,6,25.8309741,ACTIVE,2,0,170.0,94.09933774834437,8.0,5.0,7.0,12.0,12.0,0.0,18.0,7.0,9.0,16.0,10.0,14.0,4.0,13.0,6.0,9.87708233,8.08994271
-16007,Broncos D/ST,DEN,DST,12,20.0191442,ACTIVE,1,0,170.0,50.17218543046357,16.0,-5.0,8.0,10.0,7.0,17.0,4.0,6.0,7.0,16.0,7.0,0.0,1.0,13.0,6.0,6.8143498,7.89693879
4689936,Jake Bates,DET,K,8,25.535221489999998,ACTIVE,1,0,170.0,64.05732484076432,7.0,9.0,8.0,13.0,5.0,5.0,7.0,0.0,6.0,13.0,5.0,12.0,6.0,15.0,10.0,8.77119256,8.44237845
4567048,Kenneth Walker III,SEA,RB,8,36.09984519,ACTIVE,1,0,170.0,55.338345864661655,5.4,18.8,18.0,12.0,9.6,4.7,6.6,0.0,8.1,8.0,20.1,13.1,10.4,3.8,2.9,11.03143196,12.32194971
3915511,Joe Burrow,CIN,QB,10,54.38497494,ACTIVE,1,0,170.0,84.53125,8.82,7.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.24,23.36,5.5,16.45364132,19.16851957
4239996,Travis Etienne Jr.,JAX,RB,8,40.72897265,ACTIVE,1,0,170.0,81.39097744360902,18.6,16.9,11.6,19.5,8.8,9.5,6.5,0.0,16.5,15.7,19.3,20.6,5.1,21.2,31.5,12.46726069,13.04744171
3128429,Courtland Sutton,DEN,WR,12,39.71601699,ACTIVE,1,0,170.0,61.02526315789474,18.1,1.6,23.8,19.1,17.9,2.7,16.7,10.7,10.0,5.4,9.9,0.0,17.2,12.2,24.3,13.10108683,13.48144232
12483,Matthew Stafford,LAR,QB,8,55.32883775,ACTIVE,1,0,170.0,90.203125,13.6,17.32,13.84,27.4,25.56,9.34,27.38,0.0,26.84,26.9,13.2,22.92,11.62,23.24,20.92,15.92698032,19.50063548
4685382,Omarion Hampton,LAC,RB,12,35.71840229,ACTIVE,2,0,170.0,56.08270676691729,8.1,3.5,24.9,27.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,7.5,13.26069051,10.7266965
2976212,Stefon Diggs,NE,WR,14,35.883338099999996,ACTIVE,1,0,170.0,66.65263157894736,11.7,7.2,5.3,16.1,24.6,5.8,13.9,10.4,12.8,15.6,19.5,4.0,5.6,0.0,5.6,11.22529499,11.38548777
4035538,David Montgomery,DET,RB,8,25.96109112,ACTIVE,1,0,170.0,25.563909774436087,8.3,13.1,29.4,1.2,18.22,8.1,5.9,0.0,11.0,10.1,4.7,6.7,12.8,14.3,9.2,9.37597005,8.69075828
4431299,Rome Odunze,CHI,WR,5,26.614446620000002,QUESTIONABLE,1,0,170.0,43.30947368421052,15.7,31.8,15.2,16.9,0.0,5.2,5.1,18.4,14.94081342,20.6,6.1,8.3,2.8,0.0,0.0,13.14458525,13.46986137
4432708,Marvin Harrison Jr.,ARI,WR,8,30.90393521,OUT,1,0,170.0,84.57684210526317,18.1,4.7,7.4,18.6,13.8,5.2,7.8,0.0,22.6,14.3,0.0,0.0,12.9,0.0,0.0,14.82447654,16.07945867
3126486,Deebo Samuel,WSH,WR,12,41.342968479999996,ACTIVE,1,0,170.0,74.57263157894737,22.6,17.4,4.9,20.1,23.6,5.4,0.0,4.2,9.4,12.9,20.7,0.0,11.1,6.7,7.3,12.28862157,15.01103714
4568490,RJ Harvey,DEN,RB,12,41.13241257,ACTIVE,1,0,170.0,72.21052631578948,7.9,3.4,4.6,19.8,6.0,6.5,7.2,24.1,16.6,3.8,8.0,0.0,21.2,22.0,10.5,13.17717079,13.41560097
3121023,Dallas Goedert,PHI,TE,9,33.69670868,ACTIVE,1,0,170.0,57.57142857142857,11.4,0.0,10.3,19.7,10.9,26.0,4.8,17.8,0.0,8.3,4.4,4.0,4.7,15.8,25.0,12.06418644,11.3091856
4038941,Justin Herbert,LAC,QB,12,47.74661056,ACTIVE,1,0,170.0,42.25,27.92,18.78,14.6,12.52,14.64,18.76,27.9,25.28,27.7,14.7,3.34,0.0,12.84,12.16,10.4,18.648031,13.39446519
4362081,Cameron Dicker,LAC,K,12,24.946233660000004,ACTIVE,1,0,170.0,54.59872611464968,9.0,8.0,12.0,5.0,6.0,17.0,7.0,14.0,11.0,13.0,8.0,0.0,9.0,20.0,12.0,8.841105,8.02484202
3121422,Terry McLaurin,WSH,WR,12,38.82222085,ACTIVE,1,0,170.0,70.82105263157895,4.7,9.8,10.4,0.0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,22.6,7.1,15.9,11.46877868,13.96973636
4426338,Bo Nix,DEN,QB,12,50.47161269,ACTIVE,1,0,170.0,48.953125,6.84,20.24,13.42,25.74,17.88,13.36,39.96,23.78,18.52,5.8,12.6,0.0,16.44,15.98,29.08,16.27226631,17.11498704
4569587,Wan'Dale Robinson,NYG,WR,14,42.55167059,ACTIVE,1,0,170.0,81.2421052631579,11.5,28.2,3.6,4.4,8.2,20.4,15.5,7.8,13.6,12.2,7.6,30.6,10.4,0.0,16.4,13.4987598,14.39945529
3052587,Baker Mayfield,TB,QB,9,47.3760249,ACTIVE,1,0,170.0,51.53124999999999,22.58,19.9,17.72,18.86,26.66,19.64,11.12,4.08,0.0,22.92,16.82,3.54,14.46,11.08,19.18,16.68403135,15.29701438
4432773,Brian Thomas Jr.,JAX,WR,8,33.58440568,ACTIVE,1,0,170.0,40.6,9.0,8.9,7.5,10.6,12.0,23.0,6.1,0.0,8.5,0.0,0.0,0.0,4.8,11.7,17.1,11.7976498,12.26339277
4689114,Jaxson Dart,NYG,QB,14,60.23570628,ACTIVE,1,0,170.0,87.625,0.0,0.47762466,0.3,19.84,15.58,23.6,28.42,19.42,27.24,26.28,0.0,0.0,13.56,0.0,22.14,18.36283119,19.89455165
3054850,Alvin Kamara,NO,RB,11,24.72937553,OUT,1,0,170.0,60.54887218045113,13.7,16.0,6.6,11.2,9.5,12.6,5.9,6.5,0.7,14.5,0.0,3.5,0.0,0.0,0.0,12.46408885,12.26528668
3116365,Mark Andrews,BAL,TE,7,27.82810471,ACTIVE,1,0,170.0,73.73469387755102,1.5,1.4,27.1,10.0,4.2,6.6,0.0,6.4,16.6,10.4,15.7,2.1,8.7,1.9,3.8,8.58443277,8.92293166
-16021,Eagles D/ST,PHI,DST,9,18.67501794,ACTIVE,1,0,170.0,100.0,2.0,7.0,12.0,13.0,1.0,0.0,11.0,7.0,0.0,12.0,7.0,0.0,1.0,13.0,16.0,6.52589616,4.83913162
3042519,Aaron Jones Sr.,MIN,RB,6,40.21784224,ACTIVE,1,0,170.0,61.045112781954884,15.7,2.3,0.0,0.0,0.0,0.0,0.0,5.0,11.8,15.9,11.1,8.7,4.5,7.6,9.5,14.1102515,12.65234221
17372,Chris Boswell,PIT,K,5,24.767731929999997,ACTIVE,1,0,170.0,62.1656050955414,15.0,12.0,3.0,5.0,0.0,14.0,8.0,20.0,10.0,5.0,10.0,4.0,1.0,9.0,8.30490805,8.40677896,8.05604492
4683062,Xavier Worthy,KC,WR,10,26.21589711,ACTIVE,0,0,170.0,28.92842105263158,17.03025027,0.0,0.0,17.1,11.1,10.6,7.8,10.3,6.0,0.0,5.5,9.9,11.4,8.5,5.5,9.24420986,8.05897043
3886598,Jauan Jennings,SF,WR,14,39.37295705,ACTIVE,1,0,170.0,62.69263157894737,3.6,19.9,0.0,6.4,0.0,1.7,7.1,8.5,14.1,17.1,9.4,15.1,13.9,0.0,18.7,12.86544437,13.40320325
15818,Keenan Allen,LAC,WR,12,32.35881339,ACTIVE,1,0,170.0,51.02105263157895,19.8,17.1,19.5,8.7,10.8,6.7,28.9,8.4,6.1,3.9,9.3,0.0,7.0,5.2,8.6,11.82158909,9.37131431
3046779,Jared Goff,DET,QB,8,49.55642145,ACTIVE,1,0,170.0,43.796875,10.9,33.96,12.68,12.72,20.12,16.82,10.34,0.0,19.36,24.8,12.1,17.16,20.64,16.16,25.52,17.04591989,16.7024906
4431611,Caleb Williams,CHI,QB,5,52.3534063,ACTIVE,1,0,170.0,38.125,24.2,16.98,29.12,11.78,0.0,19.88,4.68,11.8,38.7,25.1,10.32,21.66,9.46,14.94,18.98,17.97117658,18.42827066
3916433,Jakobi Meyers,JAX,WR,8,37.59902484,ACTIVE,1,0,170.0,58.73263157894737,17.7,12.8,9.3,7.0,7.2,7.9,0.0,0.0,6.3,7.1,11.4,15.0,21.3,14.8,12.1,12.68281371,13.20043469
4429205,Jordan Addison,MIN,WR,6,33.618915210000004,ACTIVE,1,0,170.0,53.938947368421054,0.0,0.0,0.0,15.4,15.1,0.0,21.8,11.6,8.4,6.5,10.0,11.91268454,8.6,10.2,8.6,10.52170959,10.69243103
4373678,Khalil Shakir,BUF,WR,7,29.676348419999997,ACTIVE,1,0,170.0,45.810526315789474,12.4,2.2,14.5,17.9,11.0,6.3,0.0,20.8,11.3,12.8,0.7,17.0,1.5,9.6,11.5,9.55852317,9.59326125
4569618,Garrett Wilson,NYJ,WR,9,13.9610639,INJURY_RESERVE,1,0,170.0,72.07157894736842,22.5,9.0,24.4,20.2,19.1,4.3,0.0,0.0,0.0,13.73238714,0.0,0.0,0.0,0.0,0.0,0.0,13.9610639
4360248,Kyle Pitts Sr.,ATL,TE,5,35.55063424,ACTIVE,1,0,170.0,78.28061224489797,12.9,7.7,7.9,18.0,0.0,4.8,13.2,14.9,7.8,5.8,3.4,4.5,15.2,15.0,45.6,12.04989098,11.5959846
4429059,Woody Marks,HOU,RB,6,41.10568928,QUESTIONABLE,1,0,170.0,74.44360902255639,0.3,6.1,4.6,27.9,2.4,0.0,12.5,15.1,2.7,16.1,6.1,7.9,7.7,15.6,10.8,14.2591155,11.70516333
4360761,Michael Wilson,ARI,WR,8,41.352707210000005,ACTIVE,2,0,170.0,69.98736842105264,1.5,8.1,1.5,4.5,3.6,8.4,7.0,0.0,9.1,7.4,33.5,21.8,6.6,37.2,16.4,13.35772213,14.50568187
-16030,Jaguars D/ST,JAX,DST,8,21.7376096,ACTIVE,1,0,170.0,96.72185430463577,12.0,7.0,13.0,14.0,2.0,1.0,-1.0,0.0,3.0,8.0,12.0,6.0,14.0,11.0,11.0,5.47030817,7.04944163
