week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,11.5,17.0,14.7,17.7,0.0,93.7,60.8
2,21.3,22.8,49.9,19.3,4.0,93.3,117.4
3,13.3,33.4,29.5,8.3,12.0,87.4,96.4
4,16.2,24.5,33.8,19.1,13.0,108.5,106.6
5,8.0,16.5,27.3,16.2,13.0,100.9,81.0
6,22.5,27.5,30.6,20.9,16.0,121.2,117.5
7,13.4,23.5,26.2,20.5,12.0,108.5,95.6
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,15.4,14.0,43.1,11.0,4.0,123.3,87.5
10,4.9,31.4,33.5,1.8,15.0,104.7,86.7
11,19.3,42.1,15.9,25.9,14.0,136.9,117.2
12,17.1,22.5,44.2,17.5,13.0,109.3,114.3
13,14.5,28.8,22.4,5.0,10.0,102.7,80.6
14,23.2,47.9,47.2,18.9,9.0,94.0,146.2
15,23.4,31.0,35.8,26.8,17.0,116.6,134.0
16,17.6,38.1,16.2,20.0,10.0,83.3,101.9
