week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,22.8,17.3,43.5,11.2,5.0,86.3,99.7
2,2.8,8.1,17.4,4.6,8.0,58.7,40.9
3,11.6,21.5,15.4,8.6,15.0,55.8,72.1
4,16.2,14.9,34.9,8.1,0.0,106.9,74.2
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,15.4,21.2,27.2,10.4,2.0,107.1,76.2
7,5.2,44.5,18.3,16.2,13.0,70.6,97.2
8,24.2,38.5,41.5,3.5,10.0,56.6,117.8
9,16.4,26.1,46.8,12.1,6.0,94.9,107.4
10,15.5,51.8,25.8,19.1,0.0,85.2,112.2
11,31.8,19.0,69.2,17.4,10.0,94.4,147.4
12,7.9,14.6,31.4,17.7,2.0,102.5,73.7
13,21.3,22.7,37.6,7.3,10.0,106.3,99.0
