week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,38.9,24.7,51.1,22.7,12.0,127.0,149.3
2,4.8,31.4,23.5,17.8,5.0,110.4,82.5
3,12.7,56.6,30.8,9.2,8.0,115.0,117.2
4,27.3,25.1,52.1,10.9,12.0,99.8,127.4
5,30.0,18.1,60.2,12.5,18.0,56.6,138.8
6,9.3,19.0,20.5,16.9,4.0,74.6,69.7
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,11.8,17.5,42.4,9.1,10.0,110.5,90.8
9,8.5,22.9,28.5,9.9,7.0,112.9,76.8
10,14.7,20.7,41.4,4.6,9.0,91.1,90.3
11,4.4,8.0,18.2,6.3,11.0,87.9,47.9
