week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,29.5,36.4,42.9,5.3,13.0,149.3,127.0
2,12.3,8.5,23.1,9.0,6.0,95.1,58.9
3,12.8,30.5,45.5,1.4,3.0,118.4,93.2
4,13.9,23.7,11.5,7.5,9.0,111.7,65.7
5,12.1,23.0,41.2,10.3,13.0,98.2,99.6
6,14.6,46.6,40.5,5.5,0.0,73.1,107.1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.1,16.4,28.6,9.1,3.0,116.8,58.2
9,10.5,17.0,35.8,16.1,8.0,108.6,87.4
10,10.8,47.9,34.1,6.0,7.0,94.5,105.9
11,16.8,42.2,23.6,6.5,8.0,131.5,97.1
12,14.5,12.0,41.5,3.5,12.0,93.9,83.5
