week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,0.0,17.3,29.3,20.3,4.0,59.6,70.9
2,19.2,32.3,34.3,4.7,10.0,92.0,100.5
3,0.0,23.6,24.8,15.9,15.0,33.3,79.3
4,25.7,21.9,50.7,6.9,4.0,32.5,109.3
5,20.1,34.9,32.9,8.9,5.0,89.8,101.8
6,15.0,33.7,23.7,15.7,0.0,68.0,88.1
7,22.6,23.3,11.7,49.1,8.0,114.1,114.7
8,0.0,50.8,15.2,17.8,12.0,95.5,95.8
9,38.7,22.8,55.7,31.8,10.0,108.7,159.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,9.4,38.2,14.1,21.9,10.0,59.6,93.6
12,16.0,13.1,18.6,31.4,18.0,56.1,97.1
