week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,21.2,15.7,18.3,15.9,5.0,81.0,76.1
2,26.3,8.3,60.0,3.9,12.0,82.5,110.4
3,11.1,18.5,23.1,18.1,3.0,59.9,73.8
4,12.7,20.0,43.1,8.5,13.0,56.4,97.4
5,14.7,23.6,43.7,21.3,2.0,88.9,105.3
6,17.5,19.4,28.3,25.3,14.0,78.3,104.5
7,17.6,16.6,19.6,9.7,6.0,76.5,69.4
8,26.3,12.9,50.7,13.5,13.0,88.9,116.3
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,7.0,28.4,26.0,2.4,9.0,88.4,72.7
11,4.7,30.3,19.1,21.8,12.0,47.9,87.9
