week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,10.9,23.3,27.0,0.6,7.0,66.6,68.8
2,19.7,3.8,27.2,18.4,0.0,76.6,69.1
3,0.0,16.7,11.9,14.5,9.0,46.6,52.1
4,31.0,19.0,44.4,17.0,8.0,123.8,119.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,14.1,37.8,13.1,3.0,74.1,68.0
7,19.8,9.4,17.3,30.7,12.0,57.7,89.2
8,16.8,12.8,42.3,13.9,20.0,87.3,105.7
9,3.0,29.8,13.7,1.5,5.0,71.9,53.0
10,12.0,13.1,23.4,8.3,4.0,50.3,60.8
11,0.0,35.6,18.3,6.6,2.0,77.0,62.5
12,0.5,12.9,26.1,5.9,10.0,62.6,55.4
13,20.6,24.4,59.1,0.0,6.0,81.0,110.2
